Algorithm,Metric,k,Value
random,Precision@k,1,0.4223722275795564
random,Precision@k,2,0.4217695274831244
random,Precision@k,3,0.42277402764384403
random,Precision@k,4,0.4223119575699132
random,Precision@k,5,0.4216007714561238
random,Precision@k,6,0.4200417872066879
random,Precision@k,7,0.42096018735362994
random,Precision@k,8,0.4218297974927676
random,Precision@k,9,0.4218364941605059
random,Precision@k,10,0.42181774349083734
random,Precision@k,11,0.42127640922240617
random,Precision@k,12,0.4215485374477638
random,Precision@k,13,0.42240931681625965
random,Precision@k,14,0.4232332277173191
random,Precision@k,15,0.4225168756027005
random,Precision@k,16,0.4217393924783028
random,Precision@k,17,0.42163480628509464
random,Precision@k,18,0.4217561341476504
random,Precision@k,19,0.4220550170024857
random,Precision@k,20,0.4219382835101226
random,Recall@k,1,0.00025748806982614465
random,Recall@k,2,0.00048715112235361624
random,Recall@k,3,0.0007355670037172758
random,Recall@k,4,0.0009644642571157607
random,Recall@k,5,0.0012010704932468
random,Recall@k,6,0.0014321141767007675
random,Recall@k,7,0.0016818611235755558
random,Recall@k,8,0.0019324908420611513
random,Recall@k,9,0.002165774683241328
random,Recall@k,10,0.0023948116701388916
random,Recall@k,11,0.00262463046903744
random,Recall@k,12,0.0028772319129292193
random,Recall@k,13,0.0031207752094560563
random,Recall@k,14,0.00335707735964094
random,Recall@k,15,0.003591393136056441
random,Recall@k,16,0.0038294937403742573
random,Recall@k,17,0.00406770997683817
random,Recall@k,18,0.004313370444916866
random,Recall@k,19,0.004549127090080522
random,Recall@k,20,0.004775135947218852
random,MRR@k,1,0.4223722275795564
random,MRR@k,2,0.5159112825458052
random,MRR@k,3,0.5488588878174206
random,MRR@k,4,0.5627812600450005
random,MRR@k,5,0.5698690131790419
random,MRR@k,6,0.5740477338476371
random,MRR@k,7,0.5769062543050005
random,MRR@k,8,0.5786540845846535
random,MRR@k,9,0.5799666314613275
random,MRR@k,10,0.5808345196001893
random,MRR@k,11,0.5815577597159074
random,MRR@k,12,0.582280999831626
random,MRR@k,13,0.5828187937638268
random,MRR@k,14,0.5831287538134204
random,MRR@k,15,0.5834501938648506
random,MRR@k,16,0.5837666114154776
random,MRR@k,17,0.5839651479178315
random,MRR@k,18,0.5841124746080705
random,MRR@k,19,0.5842901125312294
random,MRR@k,20,0.5844227065524444
random,nDCG@k,1,0.4223722275795564
random,nDCG@k,2,0.42190591513110576
random,nDCG@k,3,0.42258099905382984
random,nDCG@k,4,0.42230270566264067
random,nDCG@k,5,0.4218373634139222
random,nDCG@k,6,0.4208036118018408
random,nDCG@k,7,0.4213228510354207
random,nDCG@k,8,0.4218490335725325
random,nDCG@k,9,0.4218519369594561
random,nDCG@k,10,0.42183902515258065
random,nDCG@k,11,0.42149336404120274
random,nDCG@k,12,0.4216551322861874
random,nDCG@k,13,0.4221987128361699
random,nDCG@k,14,0.4227344697123765
random,nDCG@k,15,0.4222974318621319
random,nDCG@k,16,0.4218077986537051
random,nDCG@k,17,0.42173802303424274
random,nDCG@k,18,0.42181244871038
random,nDCG@k,19,0.4220034059118308
random,nDCG@k,20,0.42192957569305195
random,Coverage@k,1,0.6299421407907425
random,Coverage@k,2,0.866923818707811
random,Coverage@k,3,0.9517839922854388
random,Coverage@k,4,0.9766152362584378
random,Coverage@k,5,0.9915621986499518
random,Coverage@k,6,0.9951783992285439
random,Coverage@k,7,0.9990356798457087
random,Coverage@k,8,0.9995178399228544
random,Coverage@k,9,1.0
random,Coverage@k,10,1.0
random,Coverage@k,11,1.0
random,Coverage@k,12,1.0
random,Coverage@k,13,1.0
random,Coverage@k,14,1.0
random,Coverage@k,15,1.0
random,Coverage@k,16,1.0
random,Coverage@k,17,1.0
random,Coverage@k,18,1.0
random,Coverage@k,19,1.0
random,Coverage@k,20,1.0
random,Pop@k,1,35.25385728061716
random,Pop@k,2,35.39959016393443
random,Pop@k,3,35.46046287367406
random,Pop@k,4,35.380544840887175
random,Pop@k,5,35.3963837994214
random,Pop@k,6,35.39545162327226
random,Pop@k,7,35.39030858244937
random,Pop@k,8,35.38247348119576
random,Pop@k,9,35.338101360762884
random,Pop@k,10,35.37565091610414
random,Pop@k,11,35.40374331550802
random,Pop@k,12,35.38245339119255
random,Pop@k,13,35.39737408204139
random,Pop@k,14,35.39413142306103
random,Pop@k,15,35.39461587913855
random,Pop@k,16,35.412412608486015
