Algorithm,Metric,k,Value
random,Precision@k,1,0.41899710703953713
random,Precision@k,2,0.4215284474445516
random,Precision@k,3,0.41939890710382416
random,Precision@k,4,0.41899710703953713
random,Precision@k,5,0.42097396335583537
random,Precision@k,6,0.42068466730954873
random,Precision@k,7,0.4217523074803684
random,Precision@k,8,0.4217092574734812
random,Precision@k,9,0.42116682738669214
random,Precision@k,10,0.4208052073288312
random,Precision@k,11,0.42068466730954673
random,Precision@k,12,0.4211065573770489
random,Precision@k,13,0.42105555967658204
random,Precision@k,14,0.4212357073977145
random,Precision@k,15,0.42161684345869554
random,Precision@k,16,0.421573649951784
random,Precision@k,17,0.42150717567643936
random,Precision@k,18,0.4212605807350274
random,Precision@k,19,0.42199157488707173
random,Precision@k,20,0.4215646094503355
random,Recall@k,1,0.00026070289117449685
random,Recall@k,2,0.0005206851880453987
random,Recall@k,3,0.0007614524816927162
random,Recall@k,4,0.001006605255760537
random,Recall@k,5,0.0012483481342773258
random,Recall@k,6,0.001476663558576404
random,Recall@k,7,0.0017720129023642984
random,Recall@k,8,0.002013742287295597
random,Recall@k,9,0.002242050055687255
random,Recall@k,10,0.002467540095757738
random,Recall@k,11,0.0026973509844382317
random,Recall@k,12,0.002941400248637435
random,Recall@k,13,0.0031762869332313645
random,Recall@k,14,0.003404015704084697
random,Recall@k,15,0.003654384709547253
random,Recall@k,16,0.0038946343907875396
random,Recall@k,17,0.0041197398769519614
random,Recall@k,18,0.004345887727934323
random,Recall@k,19,0.004587826501636846
random,Recall@k,20,0.0048274908230977135
random,MRR@k,1,0.41899710703953713
random,MRR@k,2,0.515549662487946
random,MRR@k,3,0.5460061073609758
random,MRR@k,4,0.5596873995499829
random,MRR@k,5,0.5674019607843132
random,MRR@k,6,0.5713396014143354
random,MRR@k,7,0.5746458419433341
random,MRR@k,8,0.5762731322037007
random,MRR@k,9,0.5775588924094222
random,MRR@k,10,0.5783062405289977
random,MRR@k,11,0.5789856479104301
random,MRR@k,12,0.5796486180165052
random,MRR@k,13,0.5802049565670578
random,MRR@k,14,0.5804976966138962
random,MRR@k,15,0.5808834246756125
random,MRR@k,16,0.5812601122358825
random,MRR@k,17,0.581373561665799
random,MRR@k,18,0.581561068362467
random,MRR@k,19,0.5817133294394604
random,MRR@k,20,0.5818459234606753
random,nDCG@k,1,0.41899710703953713
random,nDCG@k,2,0.4209556193230289
random,nDCG@k,3,0.4195910053814132
random,nDCG@k,4,0.419288493751751
random,nDCG@k,5,0.420547130266641
random,nDCG@k,6,0.4204060403870292
random,nDCG@k,7,0.42111855880585775
random,nDCG@k,8,0.42114358761990006
random,nDCG@k,9,0.42083991211715116
random,nDCG@k,10,0.42063219226840004
random,nDCG@k,11,0.4205669113775934
random,nDCG@k,12,0.4208430933465619
random,nDCG@k,13,0.4208246925948715
random,nDCG@k,14,0.4209513751703024
random,nDCG@k,15,0.4212102172158338
random,nDCG@k,16,0.4212032645304655
random,nDCG@k,17,0.421178748481339
random,nDCG@k,18,0.42103569299030164
random,nDCG@k,19,0.42151881124906626
random,nDCG@k,20,0.42126154071920024
random,Coverage@k,1,0.6251205400192864
random,Coverage@k,2,0.8611378977820636
random,Coverage@k,3,0.9438283510125361
random,Coverage@k,4,0.977579556412729
random,Coverage@k,5,0.9915621986499518
random,Coverage@k,6,0.9968659594985535
random,Coverage@k,7,0.9983124397299904
random,Coverage@k,8,0.9992767598842816
random,Coverage@k,9,0.9997589199614272
random,Coverage@k,10,0.9997589199614272
random,Coverage@k,11,1.0
random,Coverage@k,12,1.0
random,Coverage@k,13,1.0
random,Coverage@k,14,1.0
random,Coverage@k,15,1.0
random,Coverage@k,16,1.0
random,Coverage@k,17,1.0
random,Coverage@k,18,1.0
random,Coverage@k,19,1.0
random,Coverage@k,20,1.0
random,Pop@k,1,
random,Pop@k,2,
random,Pop@k,3,
random,Pop@k,4,
random,Pop@k,5,
