id	spotify_id	popularity	release	danceability	energy	key	mode	valence	tempo	duration_ms
01rMxQv6vhyE1oQX	4UYpnpm7ZDdo0hyyZNXSpl	41.0	2016	0.598	0.722	6.0	0.0	0.382	104.001	209507
02ZnlCGZEbkfCDxo	7eiFkQw3snYtC8jtHNUWvf	36.0	2001	0.569	0.727	1.0	0.0	0.225	110.964	228840
04OjszRi9rC5BlHC	4BmtCb6sdMqECAItGmFDvU	45.0	2006	0.226	0.4	11.0	1.0	0.1009999999999999	88.67299999999999	314413
04iitW3ffa0mhpx3	34ceTg8ChN5HjrqiIYCn9Q	65.0	2008	0.6729999999999999	0.6829999999999999	1.0	1.0	0.713	171.86	232000
04xUDjAYC14jsHyH	3H3RrT7cDpfXWromZIZEfv	25.0	2014	0.411	0.924	2.0	1.0	0.59	103.36	193427
06HvNTU9M9lnH71I	29LTZ2Hs6t2pAvQCLDREvo	38.0	2003	0.257	0.2189999999999999	9.0	1.0	0.0767	142.835	239733
06WySIW5UDIHF2Ri	3JAqNq7ompz6iAQ0u9EJ47	17.0	1985	0.292	0.895	1.0	0.0	0.767	160.28799999999995	248040
07bR4m5Oo4lvHJFW	3VcH4AZzVtUtHdz5jjjuT5	30.0	2002	0.81	0.4029999999999999	5.0	0.0	0.272	105.017	233387
09mWmQm7ixF4cCjx	5OnmeOigUabKCugoB7Lwgq	43.0	2012	0.51	0.883	1.0	1.0	0.145	129.974	261680
0AUV4mCpGOuuWNUX	5bILDCXPGi8U8rgfS75gbo	29.0	2009	0.3229999999999999	0.944	2.0	1.0	0.5379999999999999	94.135	258187
0BVyGvdW4ntQDEcu	6rWiSclqazCogCXypYLOTv	30.0	2000	0.513	0.389	8.0	1.0	0.166	98.759	262333
0DNKXcAGmMYmJdjP	6IDDwI0YOCAUDhMZltQekS	52.0	2014	0.632	0.805	11.0	0.0	0.275	115.489	183093
0DXkmUpDJT0AyerU	1UVffD20CfHJ2wD0x0as8L	54.0	2006	0.362	0.945	10.0	0.0	0.487	114.797	243747
0E1zWP8MXmbXfTTX	0i9kFWe7doJf9sEd05yzOr	45.0	2017	0.56	0.363	0.0	0.0	0.128	73.215	274107
0EVEKKlvBiB0Dkge	6h2YXTAX6QN83w0gOTjDZa	44.0	2013	0.473	0.4679999999999999	8.0	0.0	0.4479999999999999	119.68	198000
0F5ITSxH0rBegwve	4vmTtO8qFF9StEVeQ1KftR	46.0	1977	0.637	0.4970000000000001	2.0	0.0	0.435	111.429	248867
0IqeNloQ3SuH1b4V	6tg9mQjd93dkEcrAsUzkE4	19.0	2007	0.618	0.207	8.0	1.0	0.45	90.851	162040
0JYaNceX5H5sSUJi	1TQnJtARi8nN54bb43B87X	23.0	1981	0.966	0.569	9.0	1.0	0.961	121.975	346640
0K2vsBA9smDZxKno	6Cc8UC0PICsByhiOnXUF3n	21.0	1994	0.3389999999999999	0.964	8.0	1.0	0.586	158.30100000000004	89507
