id	0_best_fc2_mfcc_bow_mfcc_bow_padding_model	1_best_fc2_mfcc_bow_mfcc_bow_padding_model	2_best_fc2_mfcc_bow_mfcc_bow_padding_model	3_best_fc2_mfcc_bow_mfcc_bow_padding_model	4_best_fc2_mfcc_bow_mfcc_bow_padding_model	5_best_fc2_mfcc_bow_mfcc_bow_padding_model	6_best_fc2_mfcc_bow_mfcc_bow_padding_model	7_best_fc2_mfcc_bow_mfcc_bow_padding_model	8_best_fc2_mfcc_bow_mfcc_bow_padding_model	9_best_fc2_mfcc_bow_mfcc_bow_padding_model	10_best_fc2_mfcc_bow_mfcc_bow_padding_model	11_best_fc2_mfcc_bow_mfcc_bow_padding_model	12_best_fc2_mfcc_bow_mfcc_bow_padding_model	13_best_fc2_mfcc_bow_mfcc_bow_padding_model	14_best_fc2_mfcc_bow_mfcc_bow_padding_model	15_best_fc2_mfcc_bow_mfcc_bow_padding_model	16_best_fc2_mfcc_bow_mfcc_bow_padding_model	17_best_fc2_mfcc_bow_mfcc_bow_padding_model	18_best_fc2_mfcc_bow_mfcc_bow_padding_model	19_best_fc2_mfcc_bow_mfcc_bow_padding_model	20_best_fc2_mfcc_bow_mfcc_bow_padding_model	21_best_fc2_mfcc_bow_mfcc_bow_padding_model	22_best_fc2_mfcc_bow_mfcc_bow_padding_model	23_best_fc2_mfcc_bow_mfcc_bow_padding_model	24_best_fc2_mfcc_bow_mfcc_bow_padding_model	25_best_fc2_mfcc_bow_mfcc_bow_padding_model	26_best_fc2_mfcc_bow_mfcc_bow_padding_model	27_best_fc2_mfcc_bow_mfcc_bow_padding_model	28_best_fc2_mfcc_bow_mfcc_bow_padding_model	29_best_fc2_mfcc_bow_mfcc_bow_padding_model	30_best_fc2_mfcc_bow_mfcc_bow_padding_model	31_best_fc2_mfcc_bow_mfcc_bow_padding_model	32_best_fc2_mfcc_bow_mfcc_bow_padding_model	33_best_fc2_mfcc_bow_mfcc_bow_padding_model	34_best_fc2_mfcc_bow_mfcc_bow_padding_model	35_best_fc2_mfcc_bow_mfcc_bow_padding_model	36_best_fc2_mfcc_bow_mfcc_bow_padding_model	37_best_fc2_mfcc_bow_mfcc_bow_padding_model	38_best_fc2_mfcc_bow_mfcc_bow_padding_model	39_best_fc2_mfcc_bow_mfcc_bow_padding_model	40_best_fc2_mfcc_bow_mfcc_bow_padding_model	41_best_fc2_mfcc_bow_mfcc_bow_padding_model	42_best_fc2_mfcc_bow_mfcc_bow_padding_model	43_best_fc2_mfcc_bow_mfcc_bow_padding_model	44_best_fc2_mfcc_bow_mfcc_bow_padding_model	45_best_fc2_mfcc_bow_mfcc_bow_padding_model	46_best_fc2_mfcc_bow_mfcc_bow_padding_model	47_best_fc2_mfcc_bow_mfcc_bow_padding_model	48_best_fc2_mfcc_bow_mfcc_bow_padding_model	49_best_fc2_mfcc_bow_mfcc_bow_padding_model	50_best_fc2_mfcc_bow_mfcc_bow_padding_model	51_best_fc2_mfcc_bow_mfcc_bow_padding_model	52_best_fc2_mfcc_bow_mfcc_bow_padding_model	53_best_fc2_mfcc_bow_mfcc_bow_padding_model	54_best_fc2_mfcc_bow_mfcc_bow_padding_model	55_best_fc2_mfcc_bow_mfcc_bow_padding_model	56_best_fc2_mfcc_bow_mfcc_bow_padding_model	57_best_fc2_mfcc_bow_mfcc_bow_padding_model	58_best_fc2_mfcc_bow_mfcc_bow_padding_model	59_best_fc2_mfcc_bow_mfcc_bow_padding_model	60_best_fc2_mfcc_bow_mfcc_bow_padding_model	61_best_fc2_mfcc_bow_mfcc_bow_padding_model	62_best_fc2_mfcc_bow_mfcc_bow_padding_model	63_best_fc2_mfcc_bow_mfcc_bow_padding_model	64_best_fc2_mfcc_bow_mfcc_bow_padding_model	65_best_fc2_mfcc_bow_mfcc_bow_padding_model	66_best_fc2_mfcc_bow_mfcc_bow_padding_model	67_best_fc2_mfcc_bow_mfcc_bow_padding_model	68_best_fc2_mfcc_bow_mfcc_bow_padding_model	69_best_fc2_mfcc_bow_mfcc_bow_padding_model	70_best_fc2_mfcc_bow_mfcc_bow_padding_model	71_best_fc2_mfcc_bow_mfcc_bow_padding_model	72_best_fc2_mfcc_bow_mfcc_bow_padding_model	73_best_fc2_mfcc_bow_mfcc_bow_padding_model	74_best_fc2_mfcc_bow_mfcc_bow_padding_model	75_best_fc2_mfcc_bow_mfcc_bow_padding_model	76_best_fc2_mfcc_bow_mfcc_bow_padding_model	77_best_fc2_mfcc_bow_mfcc_bow_padding_model	78_best_fc2_mfcc_bow_mfcc_bow_padding_model	79_best_fc2_mfcc_bow_mfcc_bow_padding_model	80_best_fc2_mfcc_bow_mfcc_bow_padding_model	81_best_fc2_mfcc_bow_mfcc_bow_padding_model	82_best_fc2_mfcc_bow_mfcc_bow_padding_model	83_best_fc2_mfcc_bow_mfcc_bow_padding_model	84_best_fc2_mfcc_bow_mfcc_bow_padding_model	85_best_fc2_mfcc_bow_mfcc_bow_padding_model	86_best_fc2_mfcc_bow_mfcc_bow_padding_model	87_best_fc2_mfcc_bow_mfcc_bow_padding_model	88_best_fc2_mfcc_bow_mfcc_bow_padding_model	89_best_fc2_mfcc_bow_mfcc_bow_padding_model	90_best_fc2_mfcc_bow_mfcc_bow_padding_model	91_best_fc2_mfcc_bow_mfcc_bow_padding_model	92_best_fc2_mfcc_bow_mfcc_bow_padding_model	93_best_fc2_mfcc_bow_mfcc_bow_padding_model	94_best_fc2_mfcc_bow_mfcc_bow_padding_model	95_best_fc2_mfcc_bow_mfcc_bow_padding_model	96_best_fc2_mfcc_bow_mfcc_bow_padding_model	97_best_fc2_mfcc_bow_mfcc_bow_padding_model	98_best_fc2_mfcc_bow_mfcc_bow_padding_model	99_best_fc2_mfcc_bow_mfcc_bow_padding_model	100_best_fc2_mfcc_bow_mfcc_bow_padding_model	101_best_fc2_mfcc_bow_mfcc_bow_padding_model	102_best_fc2_mfcc_bow_mfcc_bow_padding_model	103_best_fc2_mfcc_bow_mfcc_bow_padding_model	104_best_fc2_mfcc_bow_mfcc_bow_padding_model	105_best_fc2_mfcc_bow_mfcc_bow_padding_model	106_best_fc2_mfcc_bow_mfcc_bow_padding_model	107_best_fc2_mfcc_bow_mfcc_bow_padding_model	108_best_fc2_mfcc_bow_mfcc_bow_padding_model	109_best_fc2_mfcc_bow_mfcc_bow_padding_model	110_best_fc2_mfcc_bow_mfcc_bow_padding_model	111_best_fc2_mfcc_bow_mfcc_bow_padding_model	112_best_fc2_mfcc_bow_mfcc_bow_padding_model	113_best_fc2_mfcc_bow_mfcc_bow_padding_model	114_best_fc2_mfcc_bow_mfcc_bow_padding_model	115_best_fc2_mfcc_bow_mfcc_bow_padding_model	116_best_fc2_mfcc_bow_mfcc_bow_padding_model	117_best_fc2_mfcc_bow_mfcc_bow_padding_model	118_best_fc2_mfcc_bow_mfcc_bow_padding_model	119_best_fc2_mfcc_bow_mfcc_bow_padding_model	120_best_fc2_mfcc_bow_mfcc_bow_padding_model	121_best_fc2_mfcc_bow_mfcc_bow_padding_model	122_best_fc2_mfcc_bow_mfcc_bow_padding_model	123_best_fc2_mfcc_bow_mfcc_bow_padding_model	124_best_fc2_mfcc_bow_mfcc_bow_padding_model	125_best_fc2_mfcc_bow_mfcc_bow_padding_model	126_best_fc2_mfcc_bow_mfcc_bow_padding_model	127_best_fc2_mfcc_bow_mfcc_bow_padding_model
o5CwFepK9xTbBU5I	0.02694468	0.015173272	0.024600368	0.0028314597	0.026160473	0.025808817	0.027088244	0.02617343	0.027579755	0.017057383	0.0019592233	0.026983013	0.02766756	0.020020666	0.027663782	0.012223469	0.026074387	0.027111633	0.025249293	0.019030685	0.027200518	0.0	0.013017559	0.02649736	0.025977056	0.019736163	0.027629416	0.014037405	0.026743136	0.021025276	0.012502849	0.0030441459	0.0252674	0.02775848	0.02755045	0.0036906523	0.026319403	0.026938064	0.025563478	0.023659881	0.0	0.02588233	0.02659712	0.018742768	0.018899288	0.0	0.027719567	0.0	0.024129609	0.02622483	0.026092755	0.026988436	0.008020434	0.01911711	0.026348496	0.01961277	0.025732249	0.02589281	0.0089651635	0.021994209	0.02091999	0.027879534	0.0017328382	0.018242784	0.018999886	0.020627938	0.021110266	0.0019363404	0.020590318	0.006698065	0.024506764	0.015821116	0.018515363	0.015498759	0.0075225043	0.0	0.0034538019	0.02270025	0.019540552	0.0056106057	0.02609303	0.0023562287	0.019115575	0.0	0.020234963	0.019644309	0.028419105	0.020683223	0.0026964294	0.025201045	5.370412e-05	0.028010365	0.025205228	0.0066435956	0.024717474	0.009881639	0.017818257	0.0030819231	0.01674418	0.018702626	0.028524898	0.018923938	0.019840116	0.00091528235	0.022153225	0.0153242415	0.011916848	0.023207419	0.027561864	0.007187415	0.025363274	0.027047636	0.02147001	0.0036087981	0.026435453	0.026844122	0.01826016	0.017676134	0.0	0.0	0.025811203	0.0005458069	0.022322183	0.027896909	0.017195744	0.017328827	0.003486347	0.0077528185
o5D1rlazYd9bCBlI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022944866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018635317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017150298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018117626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020344004	0.0005541149
qcUvs7BssXOWyJET	0.0	0.0	0.0	0.013707617	0.0	0.0	0.0	0.0	0.0	0.011434881	0.013969173	0.0	0.0	0.011433212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011052402	0.0	0.0	0.0	0.0	0.0	0.014343114	0.0	0.0	0.0	0.0021988002	0.0	0.0	0.0	0.0	0.010107723	0.0	0.0	0.011633823	0.011497013	0.008664623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012760271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011855917	0.010990658	0.0	0.0	0.0	0.0	0.0	0.0018390336	0.0	0.014526772	0.011991881	0.008618202	0.0	0.0	0.0	0.0	0.012498508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0110660065	0.0015137752	0.0	0.0	0.0	0.009498758	0.012782099	0.01281902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015234323	0.0020158654	0.0	0.0	0.0128123695	0.011347295	0.008653932	0.012341389	0.0	0.0	0.0	0.0	0.0	0.013584473	0.0023246075	0.0
meMXtRJMnRgPV4Gt	0.019972116	0.01172756	0.018600222	0.007994621	0.020139564	0.019549608	0.02051751	0.019253125	0.020509977	0.01702689	0.0077394336	0.020636331	0.020873442	0.019875493	0.021448812	0.0069369324	0.020047704	0.021165036	0.020053038	0.013236525	0.021199305	0.0	0.008564376	0.021221738	0.018691517	0.018950846	0.019856518	0.008490655	0.020021107	0.015817823	0.0070270626	0.008962526	0.018826982	0.021333305	0.02033699	0.003521298	0.020500122	0.021132907	0.020193763	0.015621903	0.00441181	0.020547299	0.021219967	0.019276112	0.018909657	0.006957801	0.021085817	0.0	0.018136831	0.019394973	0.019580066	0.02061329	0.0034678716	0.014059909	0.020721802	0.014950847	0.01976043	0.02055237	0.0044198968	0.015055142	0.016832877	0.021754552	0.0	0.012266038	0.019507306	0.015808526	0.016775806	6.966133e-05	0.014000908	0.0019673957	0.018475134	0.01073807	0.018582731	0.01654416	0.0034652126	0.0	0.0	0.016133795	0.0151053015	0.0048029087	0.01932698	0.007328334	0.020705014	0.0066480706	0.015066548	0.012724314	0.021916445	0.01644225	0.008885492	0.019529276	0.0	0.022032531	0.01995051	0.0017815504	0.018930368	0.0059433114	0.01877092	0.002947757	0.011870759	0.013144805	0.021770146	0.019832103	0.020200104	0.008421916	0.018563632	0.011869131	0.0064965542	0.016884752	0.02114651	0.0022106327	0.01940142	0.020422356	0.019120606	0.003292526	0.019640071	0.020711748	0.019062154	0.019049244	0.006624779	0.0068377545	0.018700454	0.0	0.015711393	0.020445008	0.012860002	0.018018408	0.0033389132	0.0056442046
Bz8Ut1ZVZhWnvoMo	0.015508282	0.008195821	0.016077066	0.0	0.016575817	0.015453059	0.014801603	0.013623876	0.014908924	0.006243807	0.0	0.015123573	0.015143652	0.008856659	0.015422398	0.010874872	0.01651765	0.013911377	0.015023599	0.016078437	0.015857402	0.0	0.009153359	0.015632425	0.020024205	0.0098246215	0.01456826	0.013296189	0.017852329	0.013281721	0.011668978	0.0	0.01378043	0.015498461	0.017280651	0.0029291906	0.0133190155	0.015521664	0.0151292905	0.016229184	0.0	0.0149226375	0.015634404	0.007877752	0.0077973576	0.0	0.015052224	0.0	0.016371382	0.015526651	0.014995699	0.014636906	0.007900146	0.012746769	0.015277164	0.011191406	0.013855129	0.014620398	0.007923035	0.016425222	0.01285857	0.016405644	0.0006212365	0.013420595	0.0070034466	0.013309768	0.013476508	0.0	0.0156603	0.0064650094	0.015431574	0.011587427	0.007943282	0.005748228	0.006967119	0.0	0.0	0.017962238	0.010788378	0.003283754	0.015680881	0.0	0.008041912	0.0	0.011786904	0.015997242	0.01541043	0.012786974	0.0	0.015113864	0.0	0.015595729	0.014728681	0.0063621146	0.015030241	0.008296356	0.008690827	0.0021889377	0.008657678	0.013776199	0.014349732	0.008320679	0.008625794	0.0	0.013322988	0.009298521	0.010695491	0.017596385	0.016236726	0.005611311	0.015965113	0.016813612	0.013511053	0.0026743743	0.014512663	0.01672705	0.0076394114	0.0071109952	0.0	0.0	0.018368369	0.0014964411	0.01691233	0.014800521	0.008939575	0.00718569	0.0025868665	0.0026090315
uzD0ZdGlEKPm2mQv	0.018442586	0.008496635	0.017360099	0.0	0.018186552	0.017501486	0.017855464	0.018222418	0.018098326	0.008161057	0.0	0.018997215	0.017690208	0.009219331	0.01836047	0.009445261	0.017850915	0.017469818	0.017248018	0.013710242	0.01824786	0.0	0.008679425	0.018206742	0.017581798	0.010475016	0.017994165	0.010142619	0.018382708	0.011284122	0.009365843	0.0	0.016986541	0.018228898	0.018912632	0.003387199	0.017020512	0.017754773	0.01647472	0.015822148	0.0	0.017473398	0.017528215	0.008449325	0.00937231	0.0	0.018780554	0.0	0.016877998	0.01785464	0.017060071	0.018674847	0.0066953055	0.009890492	0.018152032	0.0110582	0.01715276	0.018446438	0.008567966	0.014832898	0.011632932	0.018559253	0.0012392377	0.012338001	0.008181032	0.010851966	0.012485133	0.0021309652	0.0138231665	0.0053479555	0.016765807	0.010986654	0.0086812	0.006437256	0.006868486	0.0	0.004644481	0.015419698	0.009690936	0.0048768455	0.017805452	0.0	0.008557436	0.0	0.011937053	0.014220724	0.019445766	0.011121655	0.0	0.016463941	0.0	0.018909674	0.01824182	0.006533933	0.017473701	0.0073667895	0.0077621564	0.0027915926	0.0075006457	0.0124694295	0.01916932	0.008825357	0.008937943	0.0	0.011870276	0.009097796	0.008826616	0.016428402	0.019858869	0.006660349	0.016937913	0.018628106	0.011099837	0.0033130674	0.018490938	0.018552855	0.009067283	0.008110475	0.0	0.0	0.017320782	0.000709491	0.016159885	0.019072752	0.009425239	0.008121104	0.0032396181	0.0070733945
UZEnd6AnZjUSnGES	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020564722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023143727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013627423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012316298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016675623	0.0
r2kFVQg5yytbeCcj	0.0229	0.0129690105	0.021354266	0.0028625014	0.022415392	0.02162931	0.023262808	0.022597885	0.023703324	0.012476549	0.0011730448	0.023967165	0.023328526	0.014310513	0.023723722	0.012999801	0.023271691	0.023989799	0.020769823	0.017982608	0.024085296	0.0	0.011252661	0.022896942	0.022675334	0.013783126	0.022867687	0.014285939	0.02343043	0.01652207	0.011948446	0.0013006171	0.021495745	0.022669258	0.02386717	0.0036772657	0.022450112	0.022235015	0.021576699	0.020720745	0.0	0.023177193	0.023525225	0.0137081295	0.01315343	0.0	0.023249097	0.0	0.020318817	0.021805977	0.022165654	0.023578232	0.009938051	0.01525731	0.022438403	0.015950855	0.022803051	0.022708638	0.012171943	0.01866573	0.015994528	0.023715025	0.0051678536	0.0146453045	0.01288516	0.016384337	0.017217614	0.0036768802	0.017653663	0.008611401	0.02217396	0.014494096	0.013141423	0.011425727	0.010411453	0.0031332006	0.005104173	0.020186016	0.014109017	0.0053342064	0.022240417	0.001392945	0.0141359605	0.0	0.01732589	0.018204171	0.024978615	0.016276084	0.0009899855	0.02163002	0.0020289551	0.023725938	0.022423545	0.008114801	0.021461627	0.009871551	0.012429512	0.0030356767	0.012977354	0.016441742	0.02575226	0.013636745	0.014335834	0.0	0.017417133	0.013417254	0.012380125	0.020621685	0.02428298	0.009569068	0.022084268	0.023379067	0.016531128	0.0034835266	0.022942282	0.02299035	0.0126049835	0.013041524	0.0	0.0	0.02303632	0.005319671	0.0204911	0.022974158	0.014021136	0.01242413	0.0033669707	0.0074415957
sMg0MnZ5xyAtgI5O	0.014043163	0.0	0.008500715	0.0	0.008836764	0.007820902	0.012440292	0.01033002	0.012066322	0.0	0.0	0.013428828	0.012132977	0.0	0.012627316	0.0034814877	0.0084036905	0.01170736	0.010077815	0.0068070493	0.010824048	0.0	0.0019766956	0.012778626	0.00950619	0.0	0.011794746	0.0044447756	0.011397462	0.0	0.004464051	0.0	0.011310176	0.01234415	0.0071851653	0.0027684239	0.012663607	0.009872186	0.011840573	0.0063880715	0.0	0.010084519	0.012324886	0.0	0.0	0.0	0.01205268	0.0	0.00806017	0.0066255447	0.009085141	0.012437751	0.0049858894	0.0	0.010846093	0.0	0.012311848	0.013133005	0.0071501904	0.007408747	0.0	0.012943249	0.0	0.0054638376	0.0	0.0	0.0	0.0	0.006876911	0.0053415745	0.009790216	0.0039659496	0.0	0.0	0.0059401407	0.0	0.0	0.007259099	0.0	0.0026092748	0.010086645	0.0	0.0	0.0	0.0	0.008475198	0.0123756565	0.0	0.0	0.011137115	0.0	0.011528912	0.007820192	0.0061661447	0.009259029	0.0	0.0	0.002367261	0.0	0.0043484983	0.013150183	0.0	0.0	0.0	0.0	0.0	0.004053183	0.010958537	0.011504019	0.0056972695	0.009748087	0.012727499	0.0	0.0024157444	0.011218269	0.010920571	0.0	0.0	0.0	0.0	0.011028751	1.2248495e-05	0.011633597	0.011572688	0.0	0.0	0.002341891	0.00108674
FXPBCGmH86YGww3X	0.0	0.0039297487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00050200877	0.0	0.00725714	0.0	0.0	0.0	0.009421553	0.0006381767	0.0	0.011285507	0.0	0.0036300935	0.0	0.0	0.007363203	0.0013129908	0.0	0.008120513	0.0	0.0	0.0	0.0	0.0028847787	0.0	0.0	0.0	0.005174927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.310972e-06	0.0	0.0	0.0098341685	0.0	0.0	0.0	0.011374381	0.0	0.0	0.0012925752	0.0	0.007165176	0.0	0.0	0.00979599	0.0	0.0	0.0	0.0	0.0	0.0069256476	0.0009515648	0.0033434245	0.0	0.0	0.0	0.0	0.0014765164	0.009675727	0.0	0.0	0.0	0.0	0.0	0.0001518653	0.0	0.0	0.0	0.01192345	0.0	0.0023867844	0.0	0.011305961	0.0	0.0	0.0	0.0	0.0013972328	0.0035993578	0.005909963	0.0	0.0009588684	0.0	0.0	0.0	0.0	0.0026085612	0.0	0.0007833331	0.0	0.0	0.0	0.0	0.0014885177	0.0	0.0002938438	0.0	0.0008573701	0.0	0.002501063	0.0023073265
