id	0_best_fc2_vgg19_lyrics_bert_padding_model	1_best_fc2_vgg19_lyrics_bert_padding_model	2_best_fc2_vgg19_lyrics_bert_padding_model	3_best_fc2_vgg19_lyrics_bert_padding_model	4_best_fc2_vgg19_lyrics_bert_padding_model	5_best_fc2_vgg19_lyrics_bert_padding_model	6_best_fc2_vgg19_lyrics_bert_padding_model	7_best_fc2_vgg19_lyrics_bert_padding_model	8_best_fc2_vgg19_lyrics_bert_padding_model	9_best_fc2_vgg19_lyrics_bert_padding_model	10_best_fc2_vgg19_lyrics_bert_padding_model	11_best_fc2_vgg19_lyrics_bert_padding_model	12_best_fc2_vgg19_lyrics_bert_padding_model	13_best_fc2_vgg19_lyrics_bert_padding_model	14_best_fc2_vgg19_lyrics_bert_padding_model	15_best_fc2_vgg19_lyrics_bert_padding_model	16_best_fc2_vgg19_lyrics_bert_padding_model	17_best_fc2_vgg19_lyrics_bert_padding_model	18_best_fc2_vgg19_lyrics_bert_padding_model	19_best_fc2_vgg19_lyrics_bert_padding_model	20_best_fc2_vgg19_lyrics_bert_padding_model	21_best_fc2_vgg19_lyrics_bert_padding_model	22_best_fc2_vgg19_lyrics_bert_padding_model	23_best_fc2_vgg19_lyrics_bert_padding_model	24_best_fc2_vgg19_lyrics_bert_padding_model	25_best_fc2_vgg19_lyrics_bert_padding_model	26_best_fc2_vgg19_lyrics_bert_padding_model	27_best_fc2_vgg19_lyrics_bert_padding_model	28_best_fc2_vgg19_lyrics_bert_padding_model	29_best_fc2_vgg19_lyrics_bert_padding_model	30_best_fc2_vgg19_lyrics_bert_padding_model	31_best_fc2_vgg19_lyrics_bert_padding_model	32_best_fc2_vgg19_lyrics_bert_padding_model	33_best_fc2_vgg19_lyrics_bert_padding_model	34_best_fc2_vgg19_lyrics_bert_padding_model	35_best_fc2_vgg19_lyrics_bert_padding_model	36_best_fc2_vgg19_lyrics_bert_padding_model	37_best_fc2_vgg19_lyrics_bert_padding_model	38_best_fc2_vgg19_lyrics_bert_padding_model	39_best_fc2_vgg19_lyrics_bert_padding_model	40_best_fc2_vgg19_lyrics_bert_padding_model	41_best_fc2_vgg19_lyrics_bert_padding_model	42_best_fc2_vgg19_lyrics_bert_padding_model	43_best_fc2_vgg19_lyrics_bert_padding_model	44_best_fc2_vgg19_lyrics_bert_padding_model	45_best_fc2_vgg19_lyrics_bert_padding_model	46_best_fc2_vgg19_lyrics_bert_padding_model	47_best_fc2_vgg19_lyrics_bert_padding_model	48_best_fc2_vgg19_lyrics_bert_padding_model	49_best_fc2_vgg19_lyrics_bert_padding_model	50_best_fc2_vgg19_lyrics_bert_padding_model	51_best_fc2_vgg19_lyrics_bert_padding_model	52_best_fc2_vgg19_lyrics_bert_padding_model	53_best_fc2_vgg19_lyrics_bert_padding_model	54_best_fc2_vgg19_lyrics_bert_padding_model	55_best_fc2_vgg19_lyrics_bert_padding_model	56_best_fc2_vgg19_lyrics_bert_padding_model	57_best_fc2_vgg19_lyrics_bert_padding_model	58_best_fc2_vgg19_lyrics_bert_padding_model	59_best_fc2_vgg19_lyrics_bert_padding_model	60_best_fc2_vgg19_lyrics_bert_padding_model	61_best_fc2_vgg19_lyrics_bert_padding_model	62_best_fc2_vgg19_lyrics_bert_padding_model	63_best_fc2_vgg19_lyrics_bert_padding_model	64_best_fc2_vgg19_lyrics_bert_padding_model	65_best_fc2_vgg19_lyrics_bert_padding_model	66_best_fc2_vgg19_lyrics_bert_padding_model	67_best_fc2_vgg19_lyrics_bert_padding_model	68_best_fc2_vgg19_lyrics_bert_padding_model	69_best_fc2_vgg19_lyrics_bert_padding_model	70_best_fc2_vgg19_lyrics_bert_padding_model	71_best_fc2_vgg19_lyrics_bert_padding_model	72_best_fc2_vgg19_lyrics_bert_padding_model	73_best_fc2_vgg19_lyrics_bert_padding_model	74_best_fc2_vgg19_lyrics_bert_padding_model	75_best_fc2_vgg19_lyrics_bert_padding_model	76_best_fc2_vgg19_lyrics_bert_padding_model	77_best_fc2_vgg19_lyrics_bert_padding_model	78_best_fc2_vgg19_lyrics_bert_padding_model	79_best_fc2_vgg19_lyrics_bert_padding_model	80_best_fc2_vgg19_lyrics_bert_padding_model	81_best_fc2_vgg19_lyrics_bert_padding_model	82_best_fc2_vgg19_lyrics_bert_padding_model	83_best_fc2_vgg19_lyrics_bert_padding_model	84_best_fc2_vgg19_lyrics_bert_padding_model	85_best_fc2_vgg19_lyrics_bert_padding_model	86_best_fc2_vgg19_lyrics_bert_padding_model	87_best_fc2_vgg19_lyrics_bert_padding_model	88_best_fc2_vgg19_lyrics_bert_padding_model	89_best_fc2_vgg19_lyrics_bert_padding_model	90_best_fc2_vgg19_lyrics_bert_padding_model	91_best_fc2_vgg19_lyrics_bert_padding_model	92_best_fc2_vgg19_lyrics_bert_padding_model	93_best_fc2_vgg19_lyrics_bert_padding_model	94_best_fc2_vgg19_lyrics_bert_padding_model	95_best_fc2_vgg19_lyrics_bert_padding_model	96_best_fc2_vgg19_lyrics_bert_padding_model	97_best_fc2_vgg19_lyrics_bert_padding_model	98_best_fc2_vgg19_lyrics_bert_padding_model	99_best_fc2_vgg19_lyrics_bert_padding_model	100_best_fc2_vgg19_lyrics_bert_padding_model	101_best_fc2_vgg19_lyrics_bert_padding_model	102_best_fc2_vgg19_lyrics_bert_padding_model	103_best_fc2_vgg19_lyrics_bert_padding_model	104_best_fc2_vgg19_lyrics_bert_padding_model	105_best_fc2_vgg19_lyrics_bert_padding_model	106_best_fc2_vgg19_lyrics_bert_padding_model	107_best_fc2_vgg19_lyrics_bert_padding_model	108_best_fc2_vgg19_lyrics_bert_padding_model	109_best_fc2_vgg19_lyrics_bert_padding_model	110_best_fc2_vgg19_lyrics_bert_padding_model	111_best_fc2_vgg19_lyrics_bert_padding_model	112_best_fc2_vgg19_lyrics_bert_padding_model	113_best_fc2_vgg19_lyrics_bert_padding_model	114_best_fc2_vgg19_lyrics_bert_padding_model	115_best_fc2_vgg19_lyrics_bert_padding_model	116_best_fc2_vgg19_lyrics_bert_padding_model	117_best_fc2_vgg19_lyrics_bert_padding_model	118_best_fc2_vgg19_lyrics_bert_padding_model	119_best_fc2_vgg19_lyrics_bert_padding_model	120_best_fc2_vgg19_lyrics_bert_padding_model	121_best_fc2_vgg19_lyrics_bert_padding_model	122_best_fc2_vgg19_lyrics_bert_padding_model	123_best_fc2_vgg19_lyrics_bert_padding_model	124_best_fc2_vgg19_lyrics_bert_padding_model	125_best_fc2_vgg19_lyrics_bert_padding_model	126_best_fc2_vgg19_lyrics_bert_padding_model	127_best_fc2_vgg19_lyrics_bert_padding_model
01rMxQv6vhyE1oQX	0.356755	0.37158594	0.38732144	0.32770422	0.31405827	0.36553246	0.05614525	0.037980016	0.32642755	0.40068376	0.38043618	0.32704633	0.23649609	0.11747334	0.30510873	0.007912939	0.36504495	0.3066376	0.04914982	0.0	0.01299852	0.21616374	0.04315459	0.288303	0.29765967	0.3450256	0.39824194	0.2380431	0.21268418	0.16989219	0.34024605	0.32660565	0.32670233	0.15500726	0.030706255	0.31772056	0.022809766	0.17642976	0.40172026	0.37206352	0.072985664	0.27392244	0.3387551	0.042241655	0.34736398	0.12328635	0.007678292	0.3494149	0.3762641	0.0153180035	0.15224315	0.01916342	0.12101689	0.3373425	0.33102694	0.378902	0.3410545	0.3312121	0.35215858	0.37453756	0.34902927	0.0	0.3262111	0.12250135	0.34685987	0.3805938	0.24970132	0.3066599	0.12451828	0.31223425	0.3596467	0.37579086	0.14941059	0.31571084	0.37677798	0.36376196	0.3096129	0.25679132	0.33602095	0.21136366	0.34342027	0.3298796	0.40105748	0.33339086	0.0	0.1466448	0.40141645	0.3546058	0.17642869	0.32112575	0.0	0.38010034	0.392444	0.3275857	0.05951204	0.29359078	0.35601348	0.32595947	0.33023342	0.31940433	0.09310697	0.32245225	0.29592988	0.3517619	0.07718423	0.0	0.3577601	0.3736839	0.15250066	0.3585146	0.0	0.34836262	0.18685474	0.26601884	0.26575416	0.3779792	0.28747442	0.35508963	0.058777265	0.2752592	0.31501028	0.36013344	0.11735197	0.051330347	0.115283914	0.32954773	0.012041969	0.35497433
02ZnlCGZEbkfCDxo	0.2627067	0.23173979	0.26429236	0.14578249	0.19208816	0.21052699	0.013720975	0.10385482	0.26225504	0.26952413	0.34174356	0.31457752	0.30398265	0.07319491	0.16094698	0.0	0.24208592	0.14779638	0.107588865	0.0	0.025159795	0.06325797	0.0	0.24889766	0.37928355	0.19445044	0.26668906	0.19796647	0.08725675	0.17786175	0.20411089	0.21531324	0.25162742	0.10836608	0.08102229	0.124200046	0.18539931	0.07770566	0.2628455	0.1753554	0.089919016	0.30311832	0.28625357	0.16939999	0.19546892	0.27488276	0.05426431	0.2440113	0.28413123	0.11254354	0.34004304	0.07647569	0.25007874	0.2724623	0.18322495	0.24327865	0.22866862	0.22767165	0.19640341	0.19298603	0.23191455	0.0	0.15423594	0.18315698	0.23205568	0.30131054	0.23602447	0.25057885	0.0	0.2147045	0.28582814	0.27654958	0.0	0.23129396	0.1754143	0.25154552	0.15690324	0.08978779	0.15609811	0.081135266	0.22965457	0.26136094	0.24671617	0.20798956	0.0	0.061735123	0.29922572	0.21433781	0.37191132	0.15823682	0.0	0.20392133	0.2569408	0.16477181	0.08921231	0.22677152	0.29434574	0.24606462	0.23941627	0.18251994	0.35885987	0.21452776	0.13113533	0.2062505	0.13684794	0.13453937	0.2134158	0.2744279	0.1597033	0.22884484	0.0	0.2623526	0.0	0.21504216	0.05728935	0.29183742	0.03471084	0.103706874	0.17619982	0.16167392	0.1983468	0.20541735	0.012640983	0.18676975	0.2646795	0.14973399	0.07658008	0.280992
04iitW3ffa0mhpx3	0.18283667	0.03723962	0.06852989	0.0053217267	0.11411323	0.058878127	0.0	0.0	0.18781032	0.07441891	0.116937004	0.26869985	0.22494806	0.0	0.091909975	0.0	0.0782038	0.0	0.0	0.0	0.0	0.0	0.0	0.1407155	0.15508984	0.021599915	0.14951935	0.056019884	0.12361975	0.17840315	0.08455894	0.031558726	0.074100405	0.13199104	0.0	0.053041723	0.0	0.038277615	0.06982763	0.002814101	0.0	0.33880776	0.21622331	0.0	0.034817107	0.005871809	0.019072793	0.06126019	0.060969394	0.05144732	0.0	0.0	0.0	0.10886877	0.07659303	0.027370581	0.099815525	0.089348115	0.1122447	0.13682812	0.026121568	0.0	0.0	0.30003688	0.038709063	0.06853905	0.11157369	0.08213738	0.07907972	0.0797043	0.14483891	0.050051484	0.041249454	0.2045744	0.0	0.09883582	0.043462753	0.0	0.001526656	0.06667918	0.047472317	0.1547311	0.042430732	0.0	0.0	0.11684949	0.11149307	0.019505622	0.21463792	0.0	0.0	0.031727593	0.044497155	0.075367466	0.0	0.11031675	0.13331407	0.14081734	0.074695036	0.12515321	0.26179874	0.07517265	0.0	0.036676005	0.0	0.0	0.029540187	0.092434436	0.12146349	0.051861633	0.0	0.016637214	0.0	0.1814098	0.0	0.06862598	0.0	0.0	0.0	0.021846576	0.07060132	0.059169117	0.14993857	0.0	0.0	0.08947642	0.0	0.133459
04OjszRi9rC5BlHC	0.16552387	0.048130617	0.05506393	0.019826561	0.0	0.06376861	0.103196554	0.0	0.11312581	0.105366975	0.08673587	0.3820296	0.097324185	0.27638507	0.16367637	0.0	0.0788377	0.0	0.14683266	0.0	0.0	0.0	0.0200833	0.0	0.37358654	0.03390544	0.14993905	0.12402622	0.0	0.08667332	0.0	0.022258138	0.06467872	0.0	0.0	0.0	0.42037165	0.0	0.08741098	0.0018370255	0.0	0.0	0.29172438	0.051220145	0.0	0.046037324	0.037832912	0.06956861	0.066013016	0.31213868	0.26997432	0.14761242	0.19124448	0.15853883	0.0	0.045899365	0.0	0.12500346	0.037757557	0.06014816	0.0060891993	0.0	0.0	0.17790537	0.052517343	0.17052768	0.09176798	0.15965675	0.0	0.037544113	0.07776489	0.12706761	0.0	0.16384189	0.0	0.038421817	0.12106746	0.0	0.0	0.0	0.034217782	0.07989604	0.0234592	0.043148022	0.037180763	0.0	0.1293504	0.054553322	0.1218464	0.0	0.10652412	0.017426653	0.045902587	0.041351117	0.0	0.0	0.10141183	0.1341718	0.18402186	0.0	0.3412623	0.0	0.0	0.050473478	0.0	0.17692156	0.0	0.05529232	0.0583994	0.07054059	0.0	0.041295387	0.0	0.1210969	0.0	0.14909768	0.0	0.01851821	0.118380144	0.0	0.0	0.016841814	0.0	0.15643464	0.20853887	0.0	0.0	0.11638834
04xUDjAYC14jsHyH	0.13442042	0.12826037	0.15828955	0.08481887	0.09288566	0.12540121	0.23949742	0.20628686	0.12804362	0.14934562	0.14365529	0.080663554	0.0711554	0.19582254	0.09549483	0.13374382	0.10770882	0.10162819	0.21672021	0.14131135	0.25158188	0.031230027	0.07981263	0.05080009	0.0658969	0.11770992	0.13010313	0.021954052	0.037603118	0.0	0.086253166	0.11112182	0.1208923	0.0	0.1473954	0.09170897	0.13794725	0.0	0.14021163	0.12060784	0.25974247	0.04859001	0.13585284	0.22763667	0.119192995	0.15975553	0.13087438	0.11499647	0.13249904	0.21156576	0.2627349	0.20051268	0.25892904	0.09354348	0.15541345	0.12563059	0.14128289	0.090819724	0.115385816	0.07393405	0.10298561	0.20466094	0.10736143	0.08976624	0.11893196	0.118958905	0.07539804	0.12440679	0.036829483	0.09457095	0.10330421	0.12436063	0.046923026	0.009241211	0.10967269	0.11511445	0.1370374	0.032381926	0.10478269	0.052681986	0.10575486	0.11675782	0.14834198	0.11809448	0.15109654	0.008741403	0.13728605	0.119534425	0.20979734	0.11130922	0.100161046	0.11821752	0.13006002	0.11188263	0.20127483	0.092613064	0.12018432	0.09513113	0.09103225	0.11701404	0.1596245	0.10761036	0.06556305	0.11936284	0.2197624	0.20361353	0.13255288	0.1186384	0.040417943	0.11718907	0.12842526	0.12094971	0.008855466	0.118706584	0.083769165	0.10142728	0.049461856	0.092369564	0.22864206	0.08576736	0.122766286	0.17191781	0.050247826	0.2052346	0.1999516	0.07146492	0.1598252	0.17649938
06HvNTU9M9lnH71I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.119265996	0.0	0.0	0.0	0.0	0.0	0.0	0.05698608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01636577	0.0	0.0	0.012384495	0.033932306	0.073228724	0.0	0.0	0.0	0.15515606	0.003906424	0.0	0.0	0.0	0.0	0.0	0.06423099	0.0	0.0	0.0	0.0	0.0	0.06747016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04419392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029581958	0.0	0.0	0.0061484394	0.0	0.0	0.0	0.0	0.0
06WySIW5UDIHF2Ri	0.0	0.03231529	0.008426969	0.0043430235	0.019637488	0.055002414	0.1237704	0.0007273352	0.059888292	0.0014793905	0.0	0.11325192	0.038098726	0.0	0.010514482	0.044907354	0.03965185	0.00221192	0.04087796	0.02101306	0.062099062	0.12982501	0.23979837	0.0	0.0	0.0	0.013214802	0.14858404	0.040758375	0.01750955	0.054206997	0.0	0.007466776	0.0	0.0	0.0	0.0	0.0	0.020033209	0.003122895	0.01159571	0.08031557	0.0	0.0555442	0.0	0.08136549	0.018483432	0.004129953	0.038022395	0.042429846	0.17779873	0.0	0.08812077	0.0	0.028162375	0.0	0.0	0.020754118	0.02261216	0.19589804	0.0049748844	0.0	0.035236202	0.0430411	0.0077064657	0.0	0.029477645	0.021024497	0.0	0.0	0.0	0.0	0.034170184	0.00046379495	0.0	0.038776897	0.0	0.13682142	0.064711556	0.015188647	0.0	0.0	0.026975496	0.0	0.0	0.0	0.08455809	0.01134155	0.080471754	0.022125179	0.0	0.0	0.0	0.0010073708	0.09582694	0.0	0.020418452	0.0	0.0	0.010944735	0.1727931	0.0	0.003323669	0.018971425	0.03887319	0.0	0.012282364	0.0	0.0	0.0	0.0	0.00628803	0.0	0.0	0.23205273	0.03907964	0.0	0.0	0.038562734	0.00967237	0.0009128439	0.0	0.0	0.031365223	0.11250829	0.0015238323	0.0	0.038304746
07bR4m5Oo4lvHJFW	0.3358693	0.28105256	0.27914143	0.18007685	0.24603385	0.28806153	0.00043986147	0.0	0.36446133	0.32563642	0.30319753	0.63164055	0.38666713	0.04876858	0.2735866	0.0	0.27542257	0.18089136	0.07836254	0.0	0.020573622	0.19584002	0.003213189	0.2830925	0.4212481	0.23075739	0.34462476	0.4216821	0.07745092	0.31837776	0.2916981	0.21003392	0.26283407	0.084214106	0.0	0.2095991	0.21545018	0.35700813	0.322908	0.2017069	0.0	0.45662534	0.36065882	0.0	0.22297692	0.2247495	0.0	0.2657604	0.29924875	0.12256157	0.38477626	0.0	0.13761793	0.29539984	0.2859099	0.2536712	0.29797533	0.3410278	0.2783755	0.49330193	0.25195113	0.0	0.15843104	0.3470066	0.24323975	0.36740932	0.33095944	0.38191515	0.0	0.23701692	0.32091874	0.28514385	0.110787846	0.36556938	0.19531359	0.28266752	0.3014991	0.23056237	0.19080985	0.22296134	0.23009385	0.29186872	0.29259074	0.23636885	0.0	0.09082279	0.3701654	0.2589557	0.38361368	0.22471477	0.0	0.26388633	0.2569783	0.22417045	0.0	0.2957882	0.30549112	0.2841362	0.2927688	0.23414235	0.4633755	0.28013366	0.15641457	0.25465122	0.0	0.035364687	0.25358117	0.28248796	0.2729257	0.1996004	0.034378454	0.24172579	0.0	0.2449456	0.2636789	0.32959256	0.27313802	0.20688868	0.047240973	0.22466293	0.21534362	0.28741962	0.063262925	0.028078185	0.31634375	0.20849043	0.0	0.33089814
09mWmQm7ixF4cCjx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1125486	0.0	0.0	0.0	0.0	0.0	0.15635751	0.0	0.0	0.0	0.0	0.1545412	0.042815596	0.04995603	0.0	0.0841185	0.0	0.05018777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25461102	0.0	0.3632081	0.0	0.0	0.0	0.0	0.0	0.0	0.19268307	0.0	0.2797962	0.08490535	0.0	0.0	0.10983302	0.22611049	0.24067158	0.2618574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21996662	0.0	0.046213362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48188147	0.0	0.0	0.0	0.08605656	0.18479046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26797366	0.0	0.0	0.0	0.0	0.2869452	0.105481185	0.0	0.051302694	0.0
0AUV4mCpGOuuWNUX	0.66306627	0.55436385	0.57894903	0.44094956	0.4654558	0.53738636	0.11961655	0.21944542	0.60725254	0.61586607	0.62238663	0.7916215	0.37665907	0.4921953	0.49381247	0.061051887	0.53998655	0.37906712	0.25755733	0.104555905	0.19884093	0.048300944	0.0	0.49177784	0.71650636	0.47746468	0.62085617	0.41892272	0.22649676	0.38269195	0.43254495	0.45074394	0.5260349	0.19389528	0.0	0.37974924	0.27937248	0.3950303	0.58780193	0.43448988	0.162494	0.47960234	0.7015955	0.118958734	0.48045596	0.29525167	0.12998228	0.5619702	0.5869422	0.39641678	0.5739105	0.05319298	0.39191368	0.56100225	0.5088775	0.54176223	0.48901337	0.50343126	0.46843737	0.6007027	0.48996335	0.0	0.3583987	0.5673338	0.5356582	0.59260267	0.48850155	0.5105878	0.030214464	0.45902225	0.5609456	0.60248834	0.07788521	0.5883587	0.4786642	0.5633709	0.4966741	0.19319078	0.43471816	0.22788338	0.498188	0.5435185	0.56477845	0.43981078	0.15434173	0.30426008	0.6471724	0.500309	0.5469433	0.48080757	0.14517426	0.54476744	0.547571	0.52719456	0.3539245	0.44095075	0.6276596	0.5196689	0.54410416	0.47334743	0.44162655	0.50821024	0.42048094	0.54209554	0.22523528	0.17398006	0.49556983	0.5718436	0.25777346	0.49874067	0.2726822	0.5643576	0.0	0.4383411	0.15336739	0.6089388	0.34754038	0.45694116	0.30924693	0.29227778	0.439333	0.5613148	0.15682323	0.24531221	0.5885917	0.47871017	0.10463873	0.5916329
