id	0_best_fc2_vgg19_mfcc_bow_padding_model	1_best_fc2_vgg19_mfcc_bow_padding_model	2_best_fc2_vgg19_mfcc_bow_padding_model	3_best_fc2_vgg19_mfcc_bow_padding_model	4_best_fc2_vgg19_mfcc_bow_padding_model	5_best_fc2_vgg19_mfcc_bow_padding_model	6_best_fc2_vgg19_mfcc_bow_padding_model	7_best_fc2_vgg19_mfcc_bow_padding_model	8_best_fc2_vgg19_mfcc_bow_padding_model	9_best_fc2_vgg19_mfcc_bow_padding_model	10_best_fc2_vgg19_mfcc_bow_padding_model	11_best_fc2_vgg19_mfcc_bow_padding_model	12_best_fc2_vgg19_mfcc_bow_padding_model	13_best_fc2_vgg19_mfcc_bow_padding_model	14_best_fc2_vgg19_mfcc_bow_padding_model	15_best_fc2_vgg19_mfcc_bow_padding_model	16_best_fc2_vgg19_mfcc_bow_padding_model	17_best_fc2_vgg19_mfcc_bow_padding_model	18_best_fc2_vgg19_mfcc_bow_padding_model	19_best_fc2_vgg19_mfcc_bow_padding_model	20_best_fc2_vgg19_mfcc_bow_padding_model	21_best_fc2_vgg19_mfcc_bow_padding_model	22_best_fc2_vgg19_mfcc_bow_padding_model	23_best_fc2_vgg19_mfcc_bow_padding_model	24_best_fc2_vgg19_mfcc_bow_padding_model	25_best_fc2_vgg19_mfcc_bow_padding_model	26_best_fc2_vgg19_mfcc_bow_padding_model	27_best_fc2_vgg19_mfcc_bow_padding_model	28_best_fc2_vgg19_mfcc_bow_padding_model	29_best_fc2_vgg19_mfcc_bow_padding_model	30_best_fc2_vgg19_mfcc_bow_padding_model	31_best_fc2_vgg19_mfcc_bow_padding_model	32_best_fc2_vgg19_mfcc_bow_padding_model	33_best_fc2_vgg19_mfcc_bow_padding_model	34_best_fc2_vgg19_mfcc_bow_padding_model	35_best_fc2_vgg19_mfcc_bow_padding_model	36_best_fc2_vgg19_mfcc_bow_padding_model	37_best_fc2_vgg19_mfcc_bow_padding_model	38_best_fc2_vgg19_mfcc_bow_padding_model	39_best_fc2_vgg19_mfcc_bow_padding_model	40_best_fc2_vgg19_mfcc_bow_padding_model	41_best_fc2_vgg19_mfcc_bow_padding_model	42_best_fc2_vgg19_mfcc_bow_padding_model	43_best_fc2_vgg19_mfcc_bow_padding_model	44_best_fc2_vgg19_mfcc_bow_padding_model	45_best_fc2_vgg19_mfcc_bow_padding_model	46_best_fc2_vgg19_mfcc_bow_padding_model	47_best_fc2_vgg19_mfcc_bow_padding_model	48_best_fc2_vgg19_mfcc_bow_padding_model	49_best_fc2_vgg19_mfcc_bow_padding_model	50_best_fc2_vgg19_mfcc_bow_padding_model	51_best_fc2_vgg19_mfcc_bow_padding_model	52_best_fc2_vgg19_mfcc_bow_padding_model	53_best_fc2_vgg19_mfcc_bow_padding_model	54_best_fc2_vgg19_mfcc_bow_padding_model	55_best_fc2_vgg19_mfcc_bow_padding_model	56_best_fc2_vgg19_mfcc_bow_padding_model	57_best_fc2_vgg19_mfcc_bow_padding_model	58_best_fc2_vgg19_mfcc_bow_padding_model	59_best_fc2_vgg19_mfcc_bow_padding_model	60_best_fc2_vgg19_mfcc_bow_padding_model	61_best_fc2_vgg19_mfcc_bow_padding_model	62_best_fc2_vgg19_mfcc_bow_padding_model	63_best_fc2_vgg19_mfcc_bow_padding_model	64_best_fc2_vgg19_mfcc_bow_padding_model	65_best_fc2_vgg19_mfcc_bow_padding_model	66_best_fc2_vgg19_mfcc_bow_padding_model	67_best_fc2_vgg19_mfcc_bow_padding_model	68_best_fc2_vgg19_mfcc_bow_padding_model	69_best_fc2_vgg19_mfcc_bow_padding_model	70_best_fc2_vgg19_mfcc_bow_padding_model	71_best_fc2_vgg19_mfcc_bow_padding_model	72_best_fc2_vgg19_mfcc_bow_padding_model	73_best_fc2_vgg19_mfcc_bow_padding_model	74_best_fc2_vgg19_mfcc_bow_padding_model	75_best_fc2_vgg19_mfcc_bow_padding_model	76_best_fc2_vgg19_mfcc_bow_padding_model	77_best_fc2_vgg19_mfcc_bow_padding_model	78_best_fc2_vgg19_mfcc_bow_padding_model	79_best_fc2_vgg19_mfcc_bow_padding_model	80_best_fc2_vgg19_mfcc_bow_padding_model	81_best_fc2_vgg19_mfcc_bow_padding_model	82_best_fc2_vgg19_mfcc_bow_padding_model	83_best_fc2_vgg19_mfcc_bow_padding_model	84_best_fc2_vgg19_mfcc_bow_padding_model	85_best_fc2_vgg19_mfcc_bow_padding_model	86_best_fc2_vgg19_mfcc_bow_padding_model	87_best_fc2_vgg19_mfcc_bow_padding_model	88_best_fc2_vgg19_mfcc_bow_padding_model	89_best_fc2_vgg19_mfcc_bow_padding_model	90_best_fc2_vgg19_mfcc_bow_padding_model	91_best_fc2_vgg19_mfcc_bow_padding_model	92_best_fc2_vgg19_mfcc_bow_padding_model	93_best_fc2_vgg19_mfcc_bow_padding_model	94_best_fc2_vgg19_mfcc_bow_padding_model	95_best_fc2_vgg19_mfcc_bow_padding_model	96_best_fc2_vgg19_mfcc_bow_padding_model	97_best_fc2_vgg19_mfcc_bow_padding_model	98_best_fc2_vgg19_mfcc_bow_padding_model	99_best_fc2_vgg19_mfcc_bow_padding_model	100_best_fc2_vgg19_mfcc_bow_padding_model	101_best_fc2_vgg19_mfcc_bow_padding_model	102_best_fc2_vgg19_mfcc_bow_padding_model	103_best_fc2_vgg19_mfcc_bow_padding_model	104_best_fc2_vgg19_mfcc_bow_padding_model	105_best_fc2_vgg19_mfcc_bow_padding_model	106_best_fc2_vgg19_mfcc_bow_padding_model	107_best_fc2_vgg19_mfcc_bow_padding_model	108_best_fc2_vgg19_mfcc_bow_padding_model	109_best_fc2_vgg19_mfcc_bow_padding_model	110_best_fc2_vgg19_mfcc_bow_padding_model	111_best_fc2_vgg19_mfcc_bow_padding_model	112_best_fc2_vgg19_mfcc_bow_padding_model	113_best_fc2_vgg19_mfcc_bow_padding_model	114_best_fc2_vgg19_mfcc_bow_padding_model	115_best_fc2_vgg19_mfcc_bow_padding_model	116_best_fc2_vgg19_mfcc_bow_padding_model	117_best_fc2_vgg19_mfcc_bow_padding_model	118_best_fc2_vgg19_mfcc_bow_padding_model	119_best_fc2_vgg19_mfcc_bow_padding_model	120_best_fc2_vgg19_mfcc_bow_padding_model	121_best_fc2_vgg19_mfcc_bow_padding_model	122_best_fc2_vgg19_mfcc_bow_padding_model	123_best_fc2_vgg19_mfcc_bow_padding_model	124_best_fc2_vgg19_mfcc_bow_padding_model	125_best_fc2_vgg19_mfcc_bow_padding_model	126_best_fc2_vgg19_mfcc_bow_padding_model	127_best_fc2_vgg19_mfcc_bow_padding_model
o5CwFepK9xTbBU5I	0.021693636	0.010278166	0.028958201	0.026914926	0.022317275	0.025336329	0.014223148	0.02773202	0.015975898	0.028062575	0.020684417	0.023549795	0.025431594	0.007324333	0.021974003	0.0048691407	0.024408717	0.02290816	0.025084028	0.0054899766	0.012047174	0.014533504	0.005025354	0.019170083	0.02343899	0.029299872	0.026899962	0.022782106	0.011225096	0.022326782	0.026141038	0.0300266	0.024022998	0.023827959	0.01776536	0.029625257	0.020032965	0.023432488	0.024494456	0.023328848	0.011397674	0.020606777	0.024417285	0.024054358	0.024335524	0.01596844	0.0124788	0.026652358	0.023060594	0.0022026722	0.02611684	0.013330741	0.013986126	0.021280916	0.018233525	0.02305523	0.015497472	0.02503733	0.023437958	0.023784665	0.029463971	0.004019537	0.0	0.017101798	0.023206146	0.024882825	0.025842808	0.025487611	0.016315192	0.025402842	0.027654557	0.022234615	0.00990746	0.023585064	0.027703457	0.024169514	0.0267493	0.023683462	0.011420342	0.008387423	0.026136069	0.022280732	0.030469472	0.026542515	0.024411956	0.020006465	0.024598386	0.025746955	0.029444946	0.025397448	0.026116652	0.026403733	0.024790261	0.022256827	0.019681785	0.028072972	0.022565503	0.0298585	0.028285366	0.018853594	0.018285826	0.012929521	0.007987553	0.026113579	0.006580585	0.02753309	0.024480449	0.022856945	0.024592556	0.022311796	0.012537661	0.019705761	0.00892443	0.0030459182	0.025354965	0.024571707	0.02430017	0.020680211	0.005967331	0.025247723	0.026389878	0.016530132	0.016397169	0.008975355	0.021927433	0.026497133	0.001750699	0.02289123
o5D1rlazYd9bCBlI	0.0	0.0	0.0031140728	0.0	0.0	0.0	0.0020383224	0.00180362	0.0037423798	0.0023080355	0.0	0.015773742	0.018776344	0.0	0.0	0.0	0.0	0.012619416	0.0	0.0	0.0017858247	0.01175548	0.0	0.012131443	0.0	0.004073159	0.0018982466	0.0	0.0061706705	0.013923842	0.0	0.008304767	0.008406266	0.015608631	0.014805741	0.021079725	0.010750608	0.0	0.0	0.0061785337	0.00064378785	0.017174669	0.0	0.019058386	0.0	0.0132773165	0.008900546	0.007023465	0.0	0.0	0.0	0.010602821	0.0018743289	0.0	0.004192229	0.0035887803	0.003942046	0.0	0.0	0.010404902	0.0075281803	0.0	0.0	0.0037337113	0.0	0.0	0.020285556	0.00084120693	0.012066286	0.0	0.0015201034	0.0	0.0053120516	0.0	0.00019198765	0.0	0.0	0.012864792	0.0	0.0	0.015895491	0.0	0.008073933	0.0046022534	0.008463829	0.0134481955	0.0	0.00043913606	0.010637541	0.0016433395	0.0	6.761746e-05	0.0	0.0	0.0062074168	0.022787528	0.015543516	0.024707396	0.0021469297	0.0	0.013923881	0.0	0.0	0.0	0.0	0.01987604	0.0	0.0	0.009305514	0.0	0.010525132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017363306	0.0024959005	0.0078075356	0.0	0.006046249	0.00012870743	0.0	0.009716693
qcUvs7BssXOWyJET	0.006851425	0.008484932	0.013159099	0.010075125	0.0052552917	0.010201929	0.0113686	0.012962892	0.0106612835	0.0140341185	0.0057926755	0.014772808	0.01871676	0.0073187216	0.005220251	0.0034019735	0.00930188	0.014282459	0.009302868	0.0064185667	0.012036319	0.012318743	0.00831977	0.011098156	0.0068524377	0.011130232	0.011664215	0.0065010856	0.011039624	0.0167861	0.010504437	0.015138164	0.011587008	0.014428692	0.01562522	0.020116774	0.009747472	0.006770534	0.008213978	0.009630572	0.007826309	0.017570887	0.009504272	0.019672258	0.0071427496	0.014144364	0.010356243	0.013003862	0.00734206	0.0056954063	0.009106295	0.01096878	0.012219603	0.0037216945	0.007901874	0.008989639	0.011806748	0.009211997	0.0063870642	0.013222977	0.013741946	0.006951993	0.0	0.010960172	0.006415261	0.008741558	0.020256553	0.010278862	0.011936579	0.010547601	0.012779308	0.0068358583	0.0041196733	0.006833803	0.011709395	0.008125447	0.010448391	0.013838638	0.007834273	0.0	0.015714685	0.005860269	0.017498665	0.011037896	0.012976968	0.010525502	0.008644784	0.010966832	0.018020239	0.010497568	0.010078164	0.010608075	0.009974245	0.005111398	0.01094847	0.021202002	0.01416566	0.023743894	0.012488054	0.0021455656	0.01384126	0.0070573837	0.0036739765	0.009476241	0.0066619045	0.019028705	0.008908853	0.006873586	0.012452949	0.0064478717	0.011566688	0.0035073925	0.009668151	0.00084721996	0.008495929	0.010580732	0.007639207	0.004892889	0.005127033	0.009434149	0.017711252	0.00670689	0.010519857	0.009368919	0.01201479	0.008444565	0.0029556623	0.010730032
meMXtRJMnRgPV4Gt	0.011773475	0.0074974606	0.019070888	0.015140925	0.011017974	0.013402349	0.01027194	0.016284728	0.012967024	0.017626317	0.008651826	0.01988199	0.023198111	0.00504931	0.012455919	0.00073454384	0.013794768	0.021135405	0.012720682	0.0042279074	0.010168029	0.013733901	0.0069878306	0.016341373	0.012294235	0.018980466	0.015031259	0.010280516	0.012004811	0.018703546	0.01460998	0.021186514	0.017760193	0.021736488	0.01707997	0.025002798	0.0150822075	0.011034974	0.012174238	0.016371157	0.009032355	0.019675717	0.012317873	0.023275657	0.0122592	0.015509124	0.011645498	0.018121975	0.011990586	0.0030055235	0.015528679	0.012541296	0.010923836	0.009432935	0.015284923	0.014639736	0.011770086	0.013530999	0.012926766	0.018353276	0.018740397	0.0035954854	0.0	0.013583616	0.012403064	0.013012877	0.02443781	0.013085925	0.014650501	0.014265817	0.016761629	0.011008717	0.009316825	0.011460646	0.015731152	0.012264885	0.016304342	0.021348206	0.008670866	0.0047387592	0.020970056	0.010589583	0.021540413	0.018906007	0.01965268	0.01677579	0.013418314	0.015256652	0.023155024	0.015229187	0.014403517	0.014205532	0.013206641	0.010803683	0.016485866	0.027420714	0.018400226	0.02900745	0.016466439	0.008036961	0.017034154	0.008617443	0.0041794893	0.015291155	0.0045325155	0.024442486	0.012334375	0.010715673	0.020321367	0.0103067355	0.012355436	0.0075084255	0.008158838	0.00081578636	0.013217802	0.013855735	0.012643611	0.009802498	0.004554645	0.014100107	0.024546945	0.013900496	0.013744007	0.00851698	0.017961329	0.014652193	0.0005398251	0.017559426
Bz8Ut1ZVZhWnvoMo	0.008655724	0.0052790064	0.015547019	0.013740358	0.009614571	0.011836006	0.008894935	0.0148063665	0.01091947	0.0156325	0.008716152	0.018467966	0.021273872	0.0024421157	0.008931172	0.0017527499	0.012906593	0.016248398	0.014400447	0.0006486209	0.008211602	0.013021732	0.0023932199	0.01653	0.009910863	0.01688963	0.014823656	0.011294541	0.006958103	0.016507104	0.015738122	0.019185338	0.0181802	0.017527346	0.01616844	0.025247911	0.016347965	0.011438241	0.01246561	0.01512364	0.006660067	0.018623563	0.013500929	0.021084862	0.01142544	0.014380853	0.010477071	0.020186272	0.01057055	0.0	0.013097247	0.012025864	0.009935537	0.009027208	0.009778366	0.015358484	0.011168832	0.012178783	0.010958238	0.0188854	0.018263225	0.0	0.0	0.011480455	0.0080222245	0.0135951415	0.022489082	0.013301049	0.014029222	0.011794021	0.016145108	0.010514745	0.008332492	0.011320481	0.014435392	0.0122157885	0.015039725	0.016094388	0.005057665	0.0035645769	0.021461925	0.009761151	0.020037523	0.015656516	0.015170313	0.01683946	0.011221155	0.013311398	0.019975848	0.013394825	0.014371225	0.012670553	0.012945564	0.010068512	0.013020022	0.023711763	0.01975309	0.026130883	0.01650515	0.006322683	0.0139011545	0.008872914	0.004502307	0.013103597	0.0022633679	0.023252107	0.012470162	0.009475238	0.015567987	0.009443207	0.011511566	0.006521573	0.0073875273	0.0	0.013716945	0.012971159	0.011539725	0.008718842	0.0019729778	0.01260204	0.018531227	0.009375234	0.011880692	0.0057172026	0.013867452	0.014819483	0.0	0.017597958
uzD0ZdGlEKPm2mQv	0.017310882	0.0031444274	0.025003199	0.02142559	0.017031576	0.019909697	0.008258436	0.02275311	0.01060413	0.023443652	0.015757803	0.023599923	0.02595472	0.0012887935	0.017090477	0.0	0.020527732	0.020609504	0.020238586	0.0	0.006339653	0.014690248	0.0	0.020406988	0.018622885	0.02594346	0.02313578	0.017539373	0.007745023	0.02476768	0.022595752	0.028536756	0.023866596	0.023112683	0.017518098	0.03043311	0.020743214	0.01843852	0.019768756	0.022642005	0.005505565	0.020738363	0.020540012	0.02446761	0.01923719	0.015454455	0.010205661	0.02582669	0.01815099	0.0	0.022035439	0.013415007	0.008745033	0.016404036	0.014715816	0.020752281	0.010124106	0.021877756	0.019367576	0.024397548	0.025959928	0.0	0.0	0.011518298	0.01692759	0.02139015	0.025390273	0.020128781	0.016111387	0.020601375	0.023642477	0.01770099	0.009437068	0.01872501	0.023008218	0.019626217	0.022778016	0.02215604	0.0047972365	0.0071137254	0.027103053	0.018820236	0.026678337	0.024378423	0.01988553	0.021958271	0.020100443	0.02081806	0.02438846	0.020175349	0.022079904	0.021407483	0.020270552	0.017311793	0.014134969	0.028488906	0.023794753	0.032789595	0.024163678	0.014603973	0.01871007	0.0072162864	0.0021006453	0.021445109	0.0	0.029512962	0.01995496	0.016805097	0.022838231	0.017325623	0.011615811	0.01420184	0.0040449956	0.0	0.020332385	0.019585697	0.019141719	0.016231034	0.0008769385	0.021115568	0.025247583	0.013206382	0.011995974	0.0044564633	0.017385932	0.021259198	0.0	0.02228212
UZEnd6AnZjUSnGES	0.0037913527	0.0008979225	0.011592963	0.008212261	0.0060007717	0.007396603	0.003553776	0.010758801	0.005185699	0.010842361	0.0032310595	0.017245889	0.018762963	0.0	0.0036906858	0.0	0.0075451685	0.0134407645	0.007940306	0.0	0.0047912723	0.0113184955	0.0002777525	0.01243534	0.004896017	0.00899478	0.009643219	0.0054172897	0.0076979534	0.01522743	0.0062387227	0.013561141	0.010927487	0.015014588	0.015417922	0.023041492	0.013970939	0.0052672154	0.00655704	0.008751726	0.0033135328	0.016978439	0.006114584	0.018909907	0.005733238	0.013517095	0.009716058	0.012817578	0.0039837463	0.0	0.009099645	0.01077222	0.0059610642	0.0036247692	0.0062583936	0.009560762	0.005366982	0.006127922	0.0036330882	0.01360014	0.013395468	0.0	0.0	0.0054629697	0.0037821648	0.00846846	0.019877413	0.009802843	0.012826608	0.0057457946	0.010990021	0.0054730554	0.004788191	0.0069245556	0.008656499	0.0071450616	0.009264271	0.012947673	0.0	0.0	0.018081013	0.003795958	0.014386664	0.009728667	0.0117371855	0.0147132855	0.0052173976	0.009015922	0.014157832	0.0076732556	0.009531602	0.0069438647	0.008244976	0.0038773	0.008048045	0.020800812	0.016721712	0.022881467	0.0109420195	0.0	0.013543507	0.00033163023	0.0	0.008230168	0.00013622231	0.019698592	0.0069669127	0.005094498	0.013211439	0.0031572904	0.011089111	0.0016001561	0.0020500985	0.0	0.0077134883	0.008058701	0.0053937426	0.0021756098	0.0	0.008963014	0.01853904	0.004806116	0.008603071	0.0026972094	0.008996409	0.008077777	0.0	0.010532444
r2kFVQg5yytbeCcj	0.022814836	0.008812353	0.028875459	0.026992273	0.022491297	0.025573049	0.012590058	0.027743943	0.0146729145	0.028234607	0.021289185	0.023606203	0.027206643	0.004959181	0.020864626	0.0028824392	0.024869846	0.024136435	0.025216876	0.003936499	0.010531187	0.01451414	0.0045106113	0.019267844	0.023593795	0.028470539	0.027658926	0.022541877	0.011127612	0.022531973	0.026062	0.029947354	0.024816746	0.023880368	0.017445331	0.030544696	0.020541731	0.024014734	0.02428435	0.024063595	0.010400321	0.020669837	0.024992323	0.02499491	0.023891797	0.015879886	0.011940993	0.02919992	0.022692988	0.00019411145	0.026263012	0.013296397	0.012982284	0.02164128	0.019397754	0.024744814	0.01427981	0.024864627	0.022799015	0.025006494	0.028868271	0.004084167	0.0	0.01623262	0.022049682	0.026228512	0.02728833	0.026209902	0.015658243	0.024800612	0.028175805	0.022162676	0.008927752	0.023752578	0.027636085	0.02387583	0.02694295	0.025390405	0.009564893	0.0054291375	0.027426789	0.023068618	0.030847829	0.02640734	0.02492635	0.02128626	0.023997054	0.025939109	0.029914677	0.025955515	0.026524907	0.02519144	0.02475703	0.022122668	0.01945498	0.028994279	0.023391878	0.03141413	0.02914807	0.018960236	0.018805437	0.011572292	0.0060995915	0.02604585	0.004282097	0.027440576	0.02536655	0.021992274	0.024904927	0.021677325	0.012379064	0.019061292	0.007050656	0.0010138458	0.025113655	0.025085192	0.023835711	0.020862939	0.004364217	0.024875218	0.02707482	0.018317878	0.01637668	0.008712805	0.022736054	0.025581202	0.00134157	0.02355733
sMg0MnZ5xyAtgI5O	0.017735122	0.0046726298	0.025124995	0.0238485	0.018813446	0.020681502	0.007711723	0.024773136	0.009877158	0.024212189	0.016893772	0.020951753	0.0233928	0.000329637	0.017756471	0.0	0.021800088	0.018867606	0.020763567	0.0	0.006882943	0.013701566	0.0	0.019697985	0.018469056	0.024488179	0.023112739	0.019601459	0.006684904	0.021594647	0.023181094	0.02591064	0.02302092	0.019927623	0.017278025	0.027555302	0.019658081	0.02077344	0.02129929	0.021820407	0.006483911	0.019610468	0.02115297	0.023476914	0.019224951	0.0153359175	0.011009775	0.02510126	0.019052096	0.0	0.021986369	0.013100952	0.009227516	0.017797183	0.0137764495	0.021309646	0.010262524	0.020221923	0.019459078	0.023706406	0.025375264	0.0	0.0	0.011728469	0.017468141	0.021181433	0.024322594	0.021158647	0.015505969	0.020783117	0.024097504	0.018393094	0.010010199	0.020006165	0.023996849	0.019891908	0.022413362	0.019220402	0.0050711506	0.0067650317	0.025802309	0.019024355	0.026551742	0.02438768	0.020096729	0.01808515	0.019963644	0.021469794	0.024857773	0.019844308	0.022709375	0.023670282	0.021673433	0.018677484	0.014496603	0.025170263	0.022661071	0.027681332	0.025279207	0.015682973	0.015377814	0.0066509983	0.0031279642	0.022098001	0.0	0.02640053	0.020634227	0.019347964	0.020638218	0.017557075	0.011840683	0.01569548	0.0051267794	0.0	0.021079188	0.020448612	0.021128181	0.016685931	0.0001414941	0.022020135	0.022512484	0.012183779	0.013400596	0.0032683061	0.017353363	0.022634996	0.0	0.020476406
FXPBCGmH86YGww3X	0.009698628	0.0048418283	0.017227301	0.013810522	0.01055824	0.013026792	0.008871345	0.015351255	0.012143011	0.01720945	0.008889636	0.02053477	0.024069155	0.0019554424	0.011554208	9.0220296e-05	0.013722267	0.019712389	0.014027711	0.00026119605	0.007288408	0.013318829	0.0011367506	0.017252062	0.012258939	0.01828928	0.015866894	0.011288796	0.008609303	0.016596353	0.0150104305	0.0213973	0.019924117	0.021788158	0.016276464	0.027578333	0.017477468	0.011399519	0.012973861	0.016907241	0.0072246385	0.01921957	0.0133052105	0.02308647	0.01203247	0.0147720855	0.010579433	0.020607194	0.010992429	0.0	0.015143738	0.012190752	0.009603879	0.010126066	0.013485383	0.016655035	0.011090308	0.013189665	0.0125793815	0.019573826	0.020349087	0.0	0.0	0.012475764	0.009870246	0.015131484	0.025646055	0.0136436215	0.0144330785	0.0131651675	0.016638057	0.011189209	0.0095843375	0.012027667	0.015075718	0.01373509	0.016267871	0.020581128	0.006262813	0.0008876563	0.023277286	0.011101144	0.020975662	0.017931104	0.017771518	0.01911876	0.011836483	0.01458304	0.022327732	0.01515559	0.014886848	0.013738228	0.013545851	0.011547348	0.014917614	0.027167348	0.021107266	0.029273206	0.0177184	0.007618975	0.016424334	0.00899504	0.0041056816	0.013997203	0.0013842568	0.025500596	0.013075426	0.009479829	0.019507304	0.0103749335	0.011597422	0.006326683	0.0061428607	0.0	0.014340423	0.013713891	0.012807719	0.008852686	0.0012224184	0.013085694	0.023559138	0.012402749	0.013317134	0.0060968394	0.016535154	0.015837349	0.0	0.019910876
