id	0_best_fc2_vgg19_vgg19_padding_model	1_best_fc2_vgg19_vgg19_padding_model	2_best_fc2_vgg19_vgg19_padding_model	3_best_fc2_vgg19_vgg19_padding_model	4_best_fc2_vgg19_vgg19_padding_model	5_best_fc2_vgg19_vgg19_padding_model	6_best_fc2_vgg19_vgg19_padding_model	7_best_fc2_vgg19_vgg19_padding_model	8_best_fc2_vgg19_vgg19_padding_model	9_best_fc2_vgg19_vgg19_padding_model	10_best_fc2_vgg19_vgg19_padding_model	11_best_fc2_vgg19_vgg19_padding_model	12_best_fc2_vgg19_vgg19_padding_model	13_best_fc2_vgg19_vgg19_padding_model	14_best_fc2_vgg19_vgg19_padding_model	15_best_fc2_vgg19_vgg19_padding_model	16_best_fc2_vgg19_vgg19_padding_model	17_best_fc2_vgg19_vgg19_padding_model	18_best_fc2_vgg19_vgg19_padding_model	19_best_fc2_vgg19_vgg19_padding_model	20_best_fc2_vgg19_vgg19_padding_model	21_best_fc2_vgg19_vgg19_padding_model	22_best_fc2_vgg19_vgg19_padding_model	23_best_fc2_vgg19_vgg19_padding_model	24_best_fc2_vgg19_vgg19_padding_model	25_best_fc2_vgg19_vgg19_padding_model	26_best_fc2_vgg19_vgg19_padding_model	27_best_fc2_vgg19_vgg19_padding_model	28_best_fc2_vgg19_vgg19_padding_model	29_best_fc2_vgg19_vgg19_padding_model	30_best_fc2_vgg19_vgg19_padding_model	31_best_fc2_vgg19_vgg19_padding_model	32_best_fc2_vgg19_vgg19_padding_model	33_best_fc2_vgg19_vgg19_padding_model	34_best_fc2_vgg19_vgg19_padding_model	35_best_fc2_vgg19_vgg19_padding_model	36_best_fc2_vgg19_vgg19_padding_model	37_best_fc2_vgg19_vgg19_padding_model	38_best_fc2_vgg19_vgg19_padding_model	39_best_fc2_vgg19_vgg19_padding_model	40_best_fc2_vgg19_vgg19_padding_model	41_best_fc2_vgg19_vgg19_padding_model	42_best_fc2_vgg19_vgg19_padding_model	43_best_fc2_vgg19_vgg19_padding_model	44_best_fc2_vgg19_vgg19_padding_model	45_best_fc2_vgg19_vgg19_padding_model	46_best_fc2_vgg19_vgg19_padding_model	47_best_fc2_vgg19_vgg19_padding_model	48_best_fc2_vgg19_vgg19_padding_model	49_best_fc2_vgg19_vgg19_padding_model	50_best_fc2_vgg19_vgg19_padding_model	51_best_fc2_vgg19_vgg19_padding_model	52_best_fc2_vgg19_vgg19_padding_model	53_best_fc2_vgg19_vgg19_padding_model	54_best_fc2_vgg19_vgg19_padding_model	55_best_fc2_vgg19_vgg19_padding_model	56_best_fc2_vgg19_vgg19_padding_model	57_best_fc2_vgg19_vgg19_padding_model	58_best_fc2_vgg19_vgg19_padding_model	59_best_fc2_vgg19_vgg19_padding_model	60_best_fc2_vgg19_vgg19_padding_model	61_best_fc2_vgg19_vgg19_padding_model	62_best_fc2_vgg19_vgg19_padding_model	63_best_fc2_vgg19_vgg19_padding_model	64_best_fc2_vgg19_vgg19_padding_model	65_best_fc2_vgg19_vgg19_padding_model	66_best_fc2_vgg19_vgg19_padding_model	67_best_fc2_vgg19_vgg19_padding_model	68_best_fc2_vgg19_vgg19_padding_model	69_best_fc2_vgg19_vgg19_padding_model	70_best_fc2_vgg19_vgg19_padding_model	71_best_fc2_vgg19_vgg19_padding_model	72_best_fc2_vgg19_vgg19_padding_model	73_best_fc2_vgg19_vgg19_padding_model	74_best_fc2_vgg19_vgg19_padding_model	75_best_fc2_vgg19_vgg19_padding_model	76_best_fc2_vgg19_vgg19_padding_model	77_best_fc2_vgg19_vgg19_padding_model	78_best_fc2_vgg19_vgg19_padding_model	79_best_fc2_vgg19_vgg19_padding_model	80_best_fc2_vgg19_vgg19_padding_model	81_best_fc2_vgg19_vgg19_padding_model	82_best_fc2_vgg19_vgg19_padding_model	83_best_fc2_vgg19_vgg19_padding_model	84_best_fc2_vgg19_vgg19_padding_model	85_best_fc2_vgg19_vgg19_padding_model	86_best_fc2_vgg19_vgg19_padding_model	87_best_fc2_vgg19_vgg19_padding_model	88_best_fc2_vgg19_vgg19_padding_model	89_best_fc2_vgg19_vgg19_padding_model	90_best_fc2_vgg19_vgg19_padding_model	91_best_fc2_vgg19_vgg19_padding_model	92_best_fc2_vgg19_vgg19_padding_model	93_best_fc2_vgg19_vgg19_padding_model	94_best_fc2_vgg19_vgg19_padding_model	95_best_fc2_vgg19_vgg19_padding_model	96_best_fc2_vgg19_vgg19_padding_model	97_best_fc2_vgg19_vgg19_padding_model	98_best_fc2_vgg19_vgg19_padding_model	99_best_fc2_vgg19_vgg19_padding_model	100_best_fc2_vgg19_vgg19_padding_model	101_best_fc2_vgg19_vgg19_padding_model	102_best_fc2_vgg19_vgg19_padding_model	103_best_fc2_vgg19_vgg19_padding_model	104_best_fc2_vgg19_vgg19_padding_model	105_best_fc2_vgg19_vgg19_padding_model	106_best_fc2_vgg19_vgg19_padding_model	107_best_fc2_vgg19_vgg19_padding_model	108_best_fc2_vgg19_vgg19_padding_model	109_best_fc2_vgg19_vgg19_padding_model	110_best_fc2_vgg19_vgg19_padding_model	111_best_fc2_vgg19_vgg19_padding_model	112_best_fc2_vgg19_vgg19_padding_model	113_best_fc2_vgg19_vgg19_padding_model	114_best_fc2_vgg19_vgg19_padding_model	115_best_fc2_vgg19_vgg19_padding_model	116_best_fc2_vgg19_vgg19_padding_model	117_best_fc2_vgg19_vgg19_padding_model	118_best_fc2_vgg19_vgg19_padding_model	119_best_fc2_vgg19_vgg19_padding_model	120_best_fc2_vgg19_vgg19_padding_model	121_best_fc2_vgg19_vgg19_padding_model	122_best_fc2_vgg19_vgg19_padding_model	123_best_fc2_vgg19_vgg19_padding_model	124_best_fc2_vgg19_vgg19_padding_model	125_best_fc2_vgg19_vgg19_padding_model	126_best_fc2_vgg19_vgg19_padding_model	127_best_fc2_vgg19_vgg19_padding_model
01rMxQv6vhyE1oQX	0.011504937	0.013535003	0.008356828	0.01107676	0.012632838	0.007408925	0.0041295486	0.009084264	0.012238298	0.009099072	0.011851564	0.004649463	0.0	0.009267399	0.013296642	0.0043580234	0.012845348	0.008801429	0.00913131	0.0088938195	0.007992552	0.0037507035	0.0	0.008395657	0.007917477	0.012344556	0.012768489	0.009373986	0.00948935	0.0020533323	0.012299742	0.013475171	0.003107501	0.007988293	0.0012925114	0.0064731212	0.0027633973	0.008291344	0.0114356885	0.010518655	0.009957556	0.0023209434	0.013346786	0.0089205615	0.012576779	0.0	0.0013063008	0.012344326	0.009763889	0.0020174345	0.011997397	0.0033494956	0.009321624	0.0113678295	0.013195229	0.009091393	0.009493211	0.012125037	0.012985516	0.0050145146	0.012397483	0.0008385088	0.002762893	0.004667443	0.012766882	0.0070674005	0.008732951	0.011909881	0.0	0.0040207175	0.009491411	0.012335935	0.0021809908	0.012164737	0.011751054	0.013106667	0.012534424	0.008720106	0.003132848	0.0019085555	0.008848345	0.009201075	0.012406254	0.009831866	0.00953293	0.0054683555	0.01237871	0.012144493	0.009098921	0.011906321	0.011857915	0.011746544	0.014127138	0.007950292	0.012491348	0.005201747	0.012424255	0.008871881	0.008954004	0.007961361	0.0	0.01067596	0.01266793	0.012587886	0.009121725	0.0023338087	0.00995406	0.013336493	0.0048372904	0.012969695	0.002378482	0.0037781876	0.0023188137	0.008630791	0.008668474	0.012428076	0.01244185	0.005012872	0.009242189	0.0117495	0.009602805	0.0051307	0.0025694277	0.0020027973	0.012187139	0.011818657	0.008384763	0.012300194
02ZnlCGZEbkfCDxo	0.0080879	0.009484135	0.0066835973	0.007485753	0.009189192	0.0036238201	0.0015567015	0.0072897873	0.008019568	0.0062562795	0.008451596	0.0027134393	0.0	0.008276478	0.009270335	0.0021748932	0.008620532	0.0047383946	0.007629621	0.007288937	0.0063739074	0.0021978877	0.0	0.0050426656	0.0042590657	0.00818098	0.008934951	0.0053949435	0.0077415253	0.0017894164	0.008602482	0.009344528	0.0061259363	0.004367137	0.0037319881	0.0031621954	0.0025927413	0.0046034073	0.008210661	0.006259272	0.005487503	0.0021946917	0.010006783	0.0076511535	0.009123717	0.0	0.004161855	0.008559621	0.005478033	0.0050432016	0.008696992	0.0059128907	0.005091054	0.0077172453	0.008988402	0.0056086285	0.0053799697	0.008031675	0.009188486	0.0030963803	0.009122604	0.0043791565	0.0053485627	0.002838994	0.008908935	0.0035357787	0.00683797	0.008363186	0.0	0.003101907	0.005367283	0.008232338	0.0019413638	0.008121617	0.008975444	0.008836764	0.008281593	0.0045175636	0.0006553268	0.004148522	0.0048333085	0.0055815643	0.008488221	0.0062607084	0.0054435763	0.0035923403	0.008720946	0.008659047	0.005716495	0.008167954	0.008628919	0.008521986	0.01045954	0.003938427	0.0092188325	0.0034742523	0.008885169	0.0048663924	0.005182181	0.0045765718	0.0	0.0063369526	0.010009625	0.008838398	0.0073395683	0.0056715994	0.0060025635	0.009472233	0.0036156564	0.009561582	0.0022191291	0.0018015449	0.0020846408	0.0075149965	0.004607183	0.008577853	0.009499814	0.0021943022	0.007534438	0.008358102	0.0052822693	0.0030304468	0.0052140737	0.0056476463	0.008512114	0.008386997	0.007388027	0.008680717
04iitW3ffa0mhpx3	0.003472922	0.0040420904	0.0	0.002659064	0.004895516	0.0	0.0006594532	0.0	0.0034562598	0.0	0.005925541	0.0007376263	0.0	0.0	0.004133883	0.0013895759	0.0033017814	0.0	0.0	0.0	0.0	0.00087600923	0.0	0.0030124644	0.0	0.00465645	0.0037191296	0.0016346889	0.0	0.0011444662	0.0037282626	0.0031280722	0.0	0.0	0.0	0.0	0.0017759029	0.0	0.003945424	0.0	0.0	0.0014821226	0.0050660716	0.0	0.005433189	0.0	0.0	0.0025627923	0.0	0.0	0.0049035293	0.0	0.00014852676	0.002979327	0.0029702052	0.0026557583	0.0	0.0029258511	0.004232729	0.0022896528	0.003719107	0.0	0.0	0.0016533663	0.004330236	0.0	0.0	0.002370036	0.0	0.0011700578	0.0	0.002605691	0.0013338128	0.004052098	0.0053408914	0.00317285	0.0032742058	0.00094742764	0.0	0.0	0.0	0.0023135543	0.0033353025	0.002881609	0.0	0.0027734144	0.0038673694	0.0036722026	0.0	0.0028610413	0.0035761066	0.0045144204	0.005583221	0.0	0.0054291617	0.0024948	0.00528157	0.0009048682	0.0013708327	0.0006885552	0.0	0.00249152	0.006352968	0.004208883	0.0	0.0	0.0	0.0046302406	0.0023550834	0.0041028354	0.0016901138	0.00019160293	0.001529293	0.0	0.0	0.0032613364	0.0048401416	0.0	0.0	0.0034187948	0.0	0.0022931595	0.0	0.0	0.004259565	0.0040811915	0.0	0.0037763242
04OjszRi9rC5BlHC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005813994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009947642	0.0	0.0	0.0	0.0	0.0	0.0	0.0018967922	0.0	0.0	0.0	0.0	0.0014271332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010777459	0.0	0.0	0.0010858792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.983989e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015418765	0.0	0.0013377501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04xUDjAYC14jsHyH	0.009195023	0.01092305	0.015159573	0.007179353	0.009219982	0.004989291	0.0	0.01566315	0.008653566	0.014729988	0.007987814	0.0	0.0	0.01693392	0.010584707	0.0	0.009147026	0.010839631	0.01594206	0.01569577	0.01442785	0.0	0.0	0.003757148	0.0040729027	0.008852897	0.009570923	0.0047416054	0.016868152	0.0016394178	0.009840853	0.010152848	0.012986086	0.008553186	0.010663144	0.0052923574	0.0025358056	0.01116872	0.008846747	0.012952341	0.012990578	0.002042873	0.010690976	0.016158916	0.0075644986	0.0	0.01048936	0.010296967	0.012409406	0.011235309	0.008290053	0.012549834	0.0051961304	0.006976382	0.010736949	0.0046013063	0.012318649	0.008837759	0.009909378	0.0	0.010329466	0.010328929	0.0133097945	0.0	0.009613601	0.003007791	0.015351677	0.009356757	0.0	0.0028036505	0.013201911	0.009515704	0.0018317866	0.008262418	0.009050354	0.010109895	0.008830329	0.004121713	0.0	0.011532202	0.011689205	0.004194719	0.00970371	0.0047025597	0.012475876	0.0	0.009848895	0.009612594	0.011250226	0.008866004	0.009381421	0.008974804	0.011701061	0.009984911	0.009547674	0.0	0.008720622	0.0035430514	0.004654218	0.0037636452	0.0	0.0062230467	0.008906321	0.009272882	0.01631133	0.012135733	0.012539355	0.010053654	0.0	0.011050332	0.0021173933	0.0	0.0019595453	0.015662245	0.011580434	0.009945867	0.009623758	0.0027535625	0.016033143	0.009468355	0.012995378	0.0	0.012276367	0.011367246	0.009116831	0.008295919	0.015511079	0.009564047
06HvNTU9M9lnH71I	0.00855535	0.009701781	0.0079777725	0.0085607665	0.008016141	0.0060181827	0.0	0.010160721	0.009046918	0.011700562	0.007850356	0.0	0.0	0.008348299	0.009903235	0.0	0.009017178	0.010722255	0.009160073	0.008138926	0.007875368	0.0	0.0	0.0061992416	0.005785935	0.008207674	0.00953639	0.0061983974	0.009234878	0.0017552649	0.009159277	0.009510643	0.0	0.009069355	0.0	0.0061540077	0.0024298457	0.011514077	0.008214529	0.013547803	0.012963548	0.0019456436	0.009825619	0.008001139	0.008719992	0.0	0.0	0.009591018	0.013316313	0.0	0.008096337	0.0	0.0068113636	0.007841749	0.010442181	0.006814356	0.012133215	0.008628596	0.009985132	0.0	0.008816051	0.0	0.0	0.0	0.008706177	0.004655159	0.007959624	0.007684387	0.0	0.0031077333	0.012962832	0.009085155	0.0018192825	0.00894921	0.00811501	0.009592539	0.008930072	0.0059659737	0.0	0.0	0.012287868	0.007143014	0.008962456	0.00754191	0.013096673	0.00022784292	0.008780705	0.008381542	0.011098545	0.008048137	0.008284664	0.008481956	0.010635262	0.009795158	0.009085655	0.0	0.008890831	0.006082987	0.006498508	0.005035521	0.0	0.008329832	0.008581625	0.009204486	0.009236824	0.0	0.012770523	0.009796048	0.0	0.00978749	0.002093241	0.0	0.0019716413	0.007823786	0.011536709	0.009782759	0.008879704	0.003226778	0.008616512	0.008431564	0.012707418	0.0	0.0	0.0	0.009092323	0.00837733	0.007609453	0.008411802
06WySIW5UDIHF2Ri	0.0	0.0	0.0	0.005071497	0.0	0.0038483164	0.0012919861	0.0	0.0033885543	0.0	0.0	0.002628708	0.0	0.0	0.0	0.00085736334	0.0023558747	0.0	0.0	0.0	0.0	0.00068265764	0.0	0.0048487224	0.0048785126	0.0	0.0	0.0047443206	0.0	0.0012290514	0.0	0.0	0.0	0.0016776947	0.0	0.0029051772	0.0019271192	0.0	0.0	0.0	0.0	0.0015593615	0.0	0.0	0.005802806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005652743	0.0039133155	0.0	0.005659995	0.0	0.001799666	0.0	0.002524609	0.0	0.0	0.0	0.0021919082	0.0	0.004290968	0.0	0.0	0.0	0.0022582973	0.0	0.0	0.0014319028	0.0042861244	0.0	0.00010992689	0.0030073796	0.006039641	0.0	0.0	0.0	0.004928189	0.0	0.0050426354	0.0	0.003202917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026064643	0.0020898	0.0061186855	0.0051869717	0.004610555	0.0	0.004392455	0.0	0.0	0.0	0.0	0.0	0.0	0.0025124275	0.0	0.0018195375	0.0013315174	0.0017110615	0.0	0.0	0.0	0.0	0.0030062571	0.0	0.0	0.0	0.0034450656	0.0	0.0	0.0	0.0023415582	0.0	0.0
07bR4m5Oo4lvHJFW	0.0074054957	0.008627523	0.0054570613	0.0076364516	0.008097556	0.005526777	0.005051914	0.006393068	0.0077591576	0.006028533	0.007922088	0.005511179	0.0	0.0064785513	0.008445486	0.0043797023	0.008242561	0.0064472146	0.006453023	0.0064350036	0.005237536	0.0043399394	0.0	0.0063487138	0.006080036	0.008092308	0.008366997	0.0070246235	0.006426703	0.0020206065	0.007834004	0.009112185	0.0025216937	0.006541728	0.0009748537	0.0055709095	0.0027789022	0.006109827	0.007354761	0.007660161	0.0067092413	0.002391369	0.008942977	0.0062751914	0.008615537	0.0	0.0009110442	0.008273832	0.0068969987	0.0016875821	0.00805902	0.0024006146	0.0072958223	0.0074320054	0.009027904	0.007559612	0.0067507867	0.008095307	0.00843484	0.0049716625	0.008014221	0.00039030495	0.0018195019	0.0049425536	0.008347056	0.005711403	0.005749164	0.0076931724	0.0	0.0038476035	0.0070441747	0.0080088815	0.0021803554	0.008382999	0.0082005765	0.008642242	0.008114557	0.006679829	0.003923162	0.001677529	0.005905258	0.0073998063	0.007698292	0.007861816	0.006492039	0.0056862114	0.008255206	0.008108082	0.00697459	0.0071539166	0.007733781	0.0074895644	0.00958216	0.0059079733	0.008581123	0.005348295	0.00814115	0.0072553945	0.006581251	0.006891482	0.0	0.0072558685	0.008844174	0.008199364	0.006323283	0.0013634544	0.007307267	0.008892979	0.005452524	0.008731599	0.0023670848	0.0041894824	0.002321085	0.0060131685	0.0063230107	0.007903558	0.008425186	0.004360199	0.0064227334	0.0076661655	0.006479514	0.0052673146	0.0020401338	0.0017377515	0.008329326	0.00791061	0.005846384	0.007976907
09mWmQm7ixF4cCjx	0.0	0.0	0.005570784	0.0	0.0	0.0	0.0	0.0045746923	0.0	0.0015956884	0.0	0.0	0.0	0.0083288485	0.0	0.0	0.0	0.0	0.006775004	0.006269397	0.0042709224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006078188	0.0008550807	0.0	0.0	0.008744471	0.0	0.0065946225	0.0	0.0018952647	0.0	0.0	0.0	0.0	0.0016586243	0.0	0.0069495915	0.0	0.0	0.007576146	0.0	0.0	0.008485872	0.0	0.010291852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052056815	0.009618281	0.0	0.0	0.0	0.00577114	0.0	0.0	0.0	0.0	0.0	0.0010727367	0.0	0.0	0.0	0.0	0.0	0.0	0.008564424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052340147	0.009268533	0.0	0.0	0.0	0.0	0.0016264581	0.0	0.0013276486	0.005989884	0.0	0.0	0.0	0.0	0.0056564203	0.0	0.0	0.0	0.009069476	0.008581377	0.0	0.0	0.006603828	0.0
0AUV4mCpGOuuWNUX	0.006524719	0.00886397	0.008793134	0.005938849	0.00680608	0.0040101996	0.0	0.00998279	0.0069765723	0.00965064	0.0065859416	0.00035240414	0.0	0.010255556	0.0070294584	0.0	0.007875793	0.0073585454	0.010103566	0.00987934	0.008918635	0.0	0.0	0.005029824	0.004348144	0.0067472253	0.0069016945	0.00498638	0.0099587515	0.0017461649	0.0072865775	0.0071047554	0.0015145697	0.0060622413	0.0	0.0039717336	0.0025438499	0.0076537505	0.0063865017	0.009766774	0.008795723	0.0021401586	0.007653206	0.01073692	0.008039567	0.0	0.00026510633	0.0065435753	0.008886809	0.0015680739	0.0069348086	0.0011499887	0.0048662433	0.005933155	0.0071503343	0.0049598534	0.008197668	0.0067265164	0.007741225	0.0009085732	0.00782965	7.688803e-05	0.0	0.0	0.00716009	0.0032106687	0.008849942	0.0063867895	0.0	0.0033078056	0.009016757	0.0067127454	0.001914825	0.007301404	0.007519174	0.0077393535	0.0075194533	0.0047902274	0.0	0.0	0.00743541	0.004861102	0.0073688854	0.0054114345	0.008642289	0.0014983749	0.0066741146	0.007126101	0.008626742	0.006237122	0.0068247	0.0066923657	0.009436221	0.006351292	0.008061253	0.0003769744	0.0072315754	0.0042377138	0.004982592	0.0043202396	0.0	0.0059788437	0.007815251	0.0071206125	0.009909923	0.001440068	0.009094979	0.008258071	0.00087626005	0.008487149	0.0022480718	0.0	0.0020931417	0.00952411	0.0073121376	0.0076032067	0.008280589	0.0030817771	0.009760389	0.0068360823	0.009448641	0.000644126	0.0	0.0	0.0062911627	0.006285551	0.009297906	0.007178639
